Frequency [Hz],1/f [1/Hz],repeat,Vrms [V],Irms [A],XC [Ohm]
200.0,0.005,1,1.8624948609813377,0.0113156624,164.59441746700904
200.0,0.005,2,1.8624948609813377,0.0113157956,164.59248000037556
200.0,0.005,3,1.8624948609813377,0.0113167157,164.5790978898001
300.0,0.0033333333333333335,1,1.550443977867564,0.0141972229,109.20755339183721
300.0,0.0033333333333333335,2,1.550443977867564,0.0142016113,109.17380747264671
300.0,0.0033333333333333335,3,1.550443977867564,0.0142149683,109.07122303379066
400.0,0.0025,1,1.3108345922233025,0.0159257781,82.30898258109615
400.0,0.0025,2,1.3108345922233025,0.015925454,82.3106576568117
400.0,0.0025,3,1.3108345922233025,0.0159211401,82.33296007635171
500.0,0.002,1,1.1231926922582731,0.0169648118,66.20720026250295
500.0,0.002,2,1.1231926922582731,0.0169725791,66.17690132068809
500.0,0.002,3,1.1231926922582731,0.0169722866,66.17804181189547
1000.0,0.001,1,0.6232439092657144,0.0187579673,33.225556868612
1000.0,0.001,2,0.6232439092657144,0.0187463388,33.246166940379545
1000.0,0.001,3,0.6232439092657144,0.0187376514,33.26158097197359
2000.0,0.0005,1,0.32651361632054504,0.0192937795,16.923258417074013
2000.0,0.0005,2,0.32651361632054504,0.0192872379,16.928998232584927
2000.0,0.0005,3,0.32651361632054504,0.0192860998,16.929997236690905
5000.0,0.0002,1,0.13972967867625888,0.0194451436,7.1858393823462885
5000.0,0.0002,2,0.13972967867625888,0.0194534678,7.182764539094612
5000.0,0.0002,3,0.13972967867625888,0.0194580201,7.181084095820154
