Frequency [Hz],Vrms_mean [V],Vrms_std [V],Irms_mean [A],Irms_std [A],XL_mean [Ohm],XL_std [Ohm]
200,0.2011294520381354,0.009774530040055154,0.005173839257,0.0001525373932843872,38.95172369481111,3.0422110375855076
500,0.19046628039544847,0.011438699633678747,0.00530627966,0.00013377310976251693,35.96286629173909,3.102014429928313
1000,0.6865610986969501,0.006232298085738961,0.001340161159,2.1827397034671016e-05,512.4675082370035,12.05934349637283
2000,0.697867062449815,0.0025322496410258586,0.0013140870730000002,7.863480188813829e-06,531.0844148146706,3.9049755585599404
5000,0.70634312244452,0.0,0.001297195,1.2111452739072131e-05,544.55885252816,5.128387737273896
