stage,Frequency [Hz],Vrms_mean [V],Vrms_std [V],Irms_mean [A],Irms_std [A],Z_mean [Ohm],Z_std [Ohm]
coarse,700.0000000000001,0.017649385293771563,0.0,0.0054824343,0.0,3.2192607020884068,0.0
coarse,822.8541080088764,0.017649385293771563,0.0,0.00556161301,0.0,3.1734292303397003,0.0
coarse,967.2698329529765,0.017649385293771563,0.0,0.00560190808,0.0,3.1506024450461108,0.0
coarse,1137.0313651405945,0.017649385293771563,0.0,0.00559869641,0.0,3.1524097756483926,0.0
coarse,1336.5870424869697,0.017649385293771563,0.0,0.00559185632,0.0,3.156265877334195,0.0
coarse,1571.1659123169106,0.017649385293771563,0.0,0.00557802804,0.0,3.164090457632687,0.0
coarse,1846.914750447834,0.017649385293771563,0.0,0.00553267822,0.0,3.190025624474427,0.0
coarse,2171.059127925984,0.017649385293771563,0.0,0.00546224648,0.0,3.231158710687029,0.0
coarse,2552.0927459200916,0.017649385293771563,0.0,0.00536815496,0.0,3.287793557615849,0.0
coarse,3000.0000000000014,0.27504106108790344,0.0,0.00546413008,0.0,50.3357455003896,0.0
fine,677.0888830670834,0.27504106108790344,0.0,0.0056103915,0.0,49.023505951038075,0.0
fine,741.5735385972819,0.27504106108790344,0.0,0.00565750664,0.0,48.61524317855744,0.0
fine,806.0581941274803,0.27504106108790344,0.0,0.0057018837,0.0,48.23687671635663,0.0
fine,870.5428496576787,0.27504106108790344,0.0,0.00572971767,0.0,48.00255037486051,0.0
fine,935.0275051878772,0.27504106108790344,0.0,0.0057691806,0.0,47.67419849673339,0.0
fine,999.5121607180756,0.27504106108790344,0.0,0.00577710755,0.0,47.6087832375396,0.0
fine,1063.9968162482742,0.27504106108790344,0.0,0.00578875607,0.0,47.51298167723682,0.0
fine,1128.4814717784725,0.27504106108790344,0.0,0.00579186389,0.0,47.48748698372872,0.0
fine,1192.9661273086708,0.27504106108790344,0.0,0.00580551988,0.0,47.37578490350522,0.0
fine,1257.4507828388694,0.27504106108790344,0.0,0.00580921536,0.0,47.345647224878135,0.0
