Frequency [Hz],repeat,Vrms [V],Irms [A],XL [Ohm]
200.0,1,0.14155781929008646,0.0326489583,4.335753012067355
200.0,2,0.14290599162468115,0.0326458961,4.377456547277351
200.0,3,0.14290599162468115,0.032634832,4.378940624688405
500.0,1,0.30726574066425244,0.0325651541,9.435414913766751
500.0,2,0.30726574066425244,0.0325522646,9.439150991180272
500.0,3,0.30726574066425244,0.0325564593,9.437934814497854
1000.0,1,0.5902791731463891,0.0322129503,18.324281621183548
1000.0,2,0.5955495522802824,0.0322176404,18.485200805713955
1000.0,3,0.5955495522802824,0.0322245732,18.481223896559857
1500.0,1,0.8802630621863449,0.0316739939,27.791350372974115
1500.0,2,0.8725415066585671,0.031662941,27.55718449080795
1500.0,3,0.8802630621863449,0.0316614211,27.802386361815728
2000.0,1,1.1317667942345353,0.0309427697,36.576130876691856
2000.0,2,1.1317667942345353,0.0309336111,36.5869600731657
2000.0,3,1.1317667942345353,0.0309553351,36.561283881386096
3000.0,1,1.5927290680343231,0.0291584395,54.62326157866998
3000.0,2,1.5927290680343231,0.0291582718,54.62357573723979
3000.0,3,1.5927290680343231,0.0291440636,54.650205609430635
4000.0,1,1.9762465077128655,0.0271347929,72.83072013838239
4000.0,2,1.9762465077128655,0.027137043,72.82468129312636
4000.0,3,1.9762465077128655,0.0271263272,72.8534494604513
5000.0,1,2.2800799354795847,0.0251002461,90.8389474109413
5000.0,2,2.2800799354795847,0.0251212344,90.76305324708026
5000.0,3,2.2800799354795847,0.0251099393,90.80388081541817
