Frequency [Hz],repeat,VL_rms_fft [V],VL_phase [deg],VL_real [V],VL_imag [V],VL_rms_scope [V],M,dt [s],Mdt [s]
500.0,1,0.24335564160236547,-119.31634134661954,-0.11915450386921773,-0.21218900185301673,0.0,1000,1.9999999999998318e-06,0.0019999999999998318
500.0,2,0.23942450024035505,-118.7952812419612,-0.11532635282463671,-0.2098187876704829,0.0,1000,1.9999999999998318e-06,0.0019999999999998318
500.0,3,0.23757102860394957,-118.32489957294965,-0.11272051640283993,-0.20912694425591294,0.0,1000,1.9999999999998318e-06,0.0019999999999998318
500.0,4,0.2362639322739428,-118.01378680646613,-0.11096939079891709,-0.20858197429131656,0.0,1000,1.9999999999998318e-06,0.0019999999999998318
500.0,5,0.17751046350186359,-93.45532327661427,-0.010698594604888369,-0.17718776686364862,0.0,1000,1.9999999999998318e-06,0.0019999999999998318
500.0,6,0.15696965946406527,-75.19703806405859,0.04010507899563089,-0.15175986502042896,0.0,1000,1.9999999999998318e-06,0.0019999999999998318
500.0,7,0.1549116032943484,-73.84134332771922,0.04311160601825595,-0.14879178156656453,0.0,1000,1.9999999999998318e-06,0.0019999999999998318
500.0,8,0.1520799270343827,-72.56151130249752,0.04557557714777058,-0.14509021667373295,0.0,1000,1.9999999999998318e-06,0.0019999999999998318
500.0,9,0.15304929011689766,-73.15032543043485,0.04436312277357815,-0.14647866241559807,0.0,1000,1.9999999999998318e-06,0.0019999999999998318
500.0,10,0.15358399587892282,-73.14755799121633,0.04452521319967027,-0.1469882620472155,0.0,1000,1.9999999999998318e-06,0.0019999999999998318
