stage,Frequency [Hz],Vrms_mean [V],Vrms_std [V],Irms_mean [A],Irms_std [A],Z_mean [Ohm],Z_std [Ohm]
coarse,100.0,0.7125939636789699,0.0,0.0024458352040000004,3.852025962682492e-06,291.35052775252933,0.4587856367932657
coarse,166.81005372000593,0.6461200047796852,0.0030880971478258177,0.0034580071920000005,9.018261056928901e-06,186.8486758670789,1.0520784058946044
coarse,278.2559402207126,0.5242412318376622,0.002483899216716324,0.0046414081,4.601253853483769e-06,112.94889496051545,0.5616796799914613
coarse,464.15888336127773,0.3578958478312703,0.0013703340963959682,0.005593447946,7.972377797312381e-06,63.9849086088808,0.25182881872099
coarse,774.263682681127,0.1904610605261187,0.0,0.006108112165999999,5.751684287483216e-06,31.181679442144095,0.029345927885563255
coarse,1291.549665014884,0.07192124518260457,0.00032887820481413105,0.00625468567,6.007208603086657e-06,11.498777000607959,0.051004865078283244
coarse,2154.4346900318824,0.16093283094251412,0.0,0.006126032582,5.834359803926231e-06,26.270338197433567,0.025023135110664653
coarse,3593.813663804626,0.31910532989284357,0.0012606726791308258,0.005638887735999999,1.7556998506950677e-06,56.59015955426757,0.2353502977629554
coarse,5994.8425031894085,0.47444457015678587,0.0023495919583313386,0.00473322896,6.449952731799683e-06,100.237084524308,0.5043451878232965
coarse,10000.0,0.5902791731463891,0.0,0.0036215204279999996,5.276886507503304e-06,162.99236442249838,0.23788128974273004
fine,904.0847655104188,0.14290599162468115,0.0,0.006188345980000001,5.479511603614811e-06,23.092775002765244,0.020469600708856665
fine,990.1880765114112,0.12001582745762318,0.000493316121367072,0.006217043754,8.435839682769055e-06,19.304419858272183,0.10104881100158897
fine,1076.2913875124034,0.10021479549537111,0.000383711261437869,0.006235998682,4.970313656196137e-06,16.070347320060925,0.05277130838348053
fine,1162.3946985133957,0.08511393687104551,0.0003837089055410102,0.006247071178000001,5.6253618935206094e-06,13.624598170944273,0.055310391994356944
fine,1248.498009514388,0.07559819948310938,0.0006152747695185563,0.006256698818000001,4.315551956316756e-06,12.082749370407083,0.09607634642703217
fine,1334.6013205153804,0.06997933335749686,0.0005126889910572576,0.006259468758,8.297473275315445e-06,11.179838424436799,0.09372831250285812
fine,1420.7046315163725,0.07095977968957226,0.00027404279229353433,0.006253792906,8.74742987898313e-06,11.346709395298635,0.050334803757644875
fine,1506.8079425173648,0.07736313878676845,0.0003288758489172785,0.006252884211999999,5.586871367739779e-06,12.372418140513782,0.0586090142686411
fine,1592.9112535183572,0.08597194238894187,0.000383711261437869,0.006234420836,4.661497549965262e-06,13.789881951110676,0.059971276843843395
fine,1679.0145645193495,0.09626797492420236,0.0003837112614378628,0.006220017468,5.4973164651738e-06,15.477140957249002,0.06570804493857517
