category,phasor,RMS [V],RMS_std [V],phase [deg],phase_std [deg],real [V],imag [V]
measured,$V_R$,0.9993255604216091,7.687862622769743e-05,-3.1827012211332417e-15,0.08891995744281227,0.9993255604216091,-5.551115123125783e-17
measured,$V_L$,0.15876815725562837,7.39997350210449e-05,73.56285523867037,0.13468686230511107,0.04492556475508479,0.1522794187990768
measured,$V_C$,1.1632194107568143,0.0014923074127134175,-89.56158056868914,0.012551675054078079,0.008900708224618359,-1.1631853570925532
measured,$V_E$,1.4598149198694879,,-43.82746810006612,,1.0531518334013124,-1.0109059382934764
theory,$V_R$,0.9993255604216091,,0.0,,0.9993255604216091,0.0
theory,$V_L$,0.15697369195825148,,90.0,,0.0,0.15697369195825148
theory,$V_C$,1.2085684095682192,,-90.0,,0.0,-1.2085684095682192
theory,$V_E$,1.4506905341309535,,-46.459907532372,,0.9993255604216091,-1.0515947176099678
