category,phasor,RMS [V],RMS_std [V],phase [deg],phase_std [deg],real [V],imag [V]
measured,$V_R$,1.005918638724113,0.00011543695070371697,-9.485522662640992e-15,0.030323249189776275,1.005918638724113,-1.6653345369377348e-16
measured,$V_L$,0.15941492311892194,0.0014463483585057365,75.76623858479152,0.2898561181081672,0.03919671601964155,0.154520986167858
measured,$V_C$,1.1645168596992908,0.001162758979118058,-89.6081627764075,0.04735216201813643,0.00796389367874667,-1.1644896276572716
measured,$V_E$,1.459113621432571,,-43.80288945025076,,1.0530792484225013,-1.0099686414894138
theory,$V_R$,1.005918638724113,,0.0,,1.005918638724113,0.0
theory,$V_L$,0.1580093302762359,,90.0,,0.0,0.1580093302762359
theory,$V_C$,1.216541973413473,,-90.0,,0.0,-1.216541973413473
theory,$V_E$,1.460261505457046,,-46.459907532371986,,1.005918638724113,-1.058532643137237
