Frequency [Hz],Vrms_mean [V],Vrms_std [V],Irms_mean [A],Irms_std [A],XL_mean [Ohm],XL_std [Ohm]
200,0.03111269819543139,0.0,0.006691542455,1.5673021804993225e-07,4.649555526725796,0.00010890252231678582
500,0.06505382927852925,0.0,0.00667454395,1.6680931810898614e-06,9.746558236407907,0.0024358469215332345
1000,0.12162238103655189,0.0,0.00659597083,1.5775410866916965e-06,18.438890596945708,0.004409981223292131
2000,0.22627416492388172,0.0,0.00634092139,8.232137146614932e-08,35.684745327358584,0.00046327922948407517
5000,0.4440630734343942,0.0,0.0051806944,7.058608590380786e-06,85.71505117253915,0.11678530903722609
