Frequency [Hz],Vrms_mean [V],Vrms_std [V],Irms_mean [A],Irms_std [A],Z_mean [Ohm],Z_std [Ohm]
700.0000000000001,0.2155261453641669,0.0018973610304923606,0.006235135626,5.23828828952071e-06,34.566545124398914,0.3237354131505571
755.722616845494,0.19176734730567696,0.0018973704382683869,0.006291415354,6.666924815901221e-06,30.48095988132767,0.3202239824260595
815.880962302574,0.16546298495917447,0.0,0.006338777488000001,3.72317629943435e-06,26.10330318980698,0.015330598279146583
880.8281369510298,0.14594684038643657,0.002323794713399203,0.006323106122000001,8.777858900686472e-05,23.088985393618074,0.6830369832425224
950.945349496819,0.12727922566939204,0.0,0.00622577751,1.7294590496596175e-06,20.443909748207936,0.00567913914771164
1026.644154283985,0.11030864959195205,1.5515838457795457e-17,0.006255449448,7.030170572305948e-06,17.63402644812682,0.019810864769352968
1108.3688669208886,0.09333809462164952,0.0,0.006268822218,8.675478983993897e-06,14.88927815691417,0.02061824192154377
1196.5991721993269,0.07806458984507636,0.002323788942654035,0.006290693580000001,2.8587814452664473e-06,12.40964175595894,0.37381054484231974
1291.8529396137528,0.07127636258900984,0.0018973657264746693,0.006288477778,9.35680788167194e-06,11.334440226642226,0.3013877710234272
1394.6892630063571,0.0729734191396292,0.001897368082371522,0.006287010479999999,5.966592928682171e-06,11.607093728524102,0.3055140853263763
1505.7117421792536,0.07976164534210661,0.0018973657264746756,0.00627976926,5.14563597318166e-06,12.701315635675561,0.29941968720965606
1625.5720257352773,0.0924895668731344,0.0018973657264746693,0.006277999003999999,1.21114736982367e-05,14.73277147466057,0.3260110009063997
1754.9736359421347,0.11030864959195205,1.5515838457795457e-17,0.006261949892,5.614090348517534e-06,17.615714345446378,0.01579753311053863
1894.6760980700585,0.12812775131072893,0.0018973610146809517,0.006224036496,8.35354899759566e-06,20.5859677838491,0.3044042462801263
2045.499398440163,0.14849242995351658,0.0,0.006189106404,6.460224559319027e-06,23.992568505309563,0.02504385145461986
2208.3287973501215,0.1730997368029888,0.0018973610146809515,0.006142775528,1.0111964170551714e-05,28.17941820718088,0.3074235018471252
2384.1200251267087,0.19091881744998362,0.0,0.00613794597,2.3269321562391054e-05,31.105034912415004,0.11851644192525092
2573.9048918035724,0.2163746710125749,0.0,0.006029684936,9.635088619587505e-05,35.892293433097095,0.5779765725315132
2778.797343350308,0.2401334648496373,0.0023237947327641303,0.005880452508,2.4768924194628952e-05,40.83761879114822,0.5508214812154488
3000.0000000000014,0.26134666911254867,0.0023237947133992183,0.005849879512,7.5385463133299664e-06,44.67578909296121,0.42369907366916393
