category,phasor,RMS [V],RMS_std [V],phase [deg],phase_std [deg],real [V],imag [V]
measured,$V_R$,0.8246591709759316,0.011881608081619725,-3.856811145020716e-15,0.33946671369881054,0.8246591709759316,-5.551115123125783e-17
measured,$V_L$,0.12346870648817518,0.0037600058393272946,78.66300374103157,2.3085844714458803,0.024271390984409662,0.12105957649663684
measured,$V_C$,1.0662278189162246,0.0009422970132797089,-63.659099106271476,1.2840652752602975,0.4730970538045595,-0.9555212920245657
measured,$V_E$,1.5633564441696723,,-32.26005517844365,,1.3220276157649007,-0.8344617155279288
theory,$V_R$,0.8246591709759316,,0.0,,0.8246591709759316,0.0
theory,$V_L$,0.12953715966267176,,90.0,,0.0,0.12953715966267176
theory,$V_C$,0.9973296612985105,,-90.0,,0.0,-0.9973296612985105
theory,$V_E$,1.1971326468566872,,-46.45990753237199,,0.8246591709759316,-0.8677925016358388
