stage,Frequency [Hz],Vrms_mean [V],Vrms_std [V],Irms_mean [A],Irms_std [A],Z_mean [Ohm],Z_std [Ohm]
coarse,4999999.999999999,0.7961779077840224,0.0,0.002029580298,8.84981172961166e-06,392.29295487197896,1.7153650576741337
coarse,5235776.774979864,0.7824506792263893,0.0,0.0019792704840000002,9.044613241235433e-06,395.3293612758047,1.8045367163914494
coarse,5482671.68748371,0.7677482568672729,0.0,0.0019203463819999999,6.60309655454314e-06,399.80053257551236,1.3723488526580043
coarse,5741209.017233375,0.7393186059858786,0.0,0.0018928601660000003,5.759656793818533e-06,390.58568309056756,1.1882153301283802
coarse,6011937.766547109,0.6875853387788862,0.002740611635455966,0.0018716698980000002,1.0906217200529274e-05,367.37830773592225,3.18365912922104
coarse,6295432.826142334,0.6190957911341387,0.002411740498332405,0.001851922974,1.2086396930813573e-05,334.30818442403745,2.173670977495237
coarse,6592296.195912378,0.5169746768113084,0.0,0.001828627244,1.2451166000083313e-05,282.72229470058556,1.908839456969632
coarse,6903158.263269229,0.4029017952521087,0.0018797089606475892,0.001781279806,6.1652361336229525e-06,226.18903682511785,1.3499369001643255
coarse,7228679.141767073,0.31403122020324425,0.0015440023982689732,0.0016996980879999998,1.0541182512150678e-05,184.76400677201656,1.647478400221523
coarse,7569550.072849086,0.23826671350440906,0.0,0.00169024563,1.6355692216254533e-05,140.97635631927238,1.3724063668065964
coarse,7926494.893694093,0.25591608561063917,0.0,0.0015892018559999998,5.608472121111062e-06,161.0359540356114,0.5686551511331965
coarse,8300271.574280006,0.3569045286576319,0.0,0.00149231872,6.635389801255032e-06,239.1648638310816,1.069043021460518
coarse,8691673.826928163,0.4431903807712514,0.0,0.001392720686,9.83857517803165e-06,318.2318361971269,2.2463659406118786
coarse,9101532.791746167,0.47506798104991904,0.0,0.001323469312,1.131850560230102e-05,358.97761786096055,3.0790266424471864
coarse,9530718.801548447,0.45495647433923986,0.0,0.001300116138,1.1397457717165212e-05,349.9567256895477,3.0612657353251884
coarse,9980143.23000226,0.4088774597096177,0.0016443745327926497,0.001280735408,1.4628882218213725e-05,319.28309268056944,3.6116699234823915
coarse,10450760.426923674,0.36600410911873693,0.0018125707297126294,0.00127139734,9.731844106016074e-06,287.8810466094472,1.0910436744918162
coarse,10943569.744833147,0.4285912182124122,0.001699205217708145,0.00126854626,2.972619590512738e-06,337.8615743496505,1.5429178073382717
coarse,11459617.661073944,0.5441946288922406,0.0,0.001256796114,7.169855258335375e-06,433.01278167361295,2.467356069888997
coarse,12000000.000000007,0.5816943237127382,0.0,0.001238720376,1.3337182238823197e-05,469.63660972595716,5.071762356238407
fine,5298685.05099436,0.7824506792263893,0.0,0.001954572438,8.372084728508207e-06,400.3239426944341,1.7118572803875345
fine,5537723.474347489,0.7584823396828758,0.003625141459425259,0.0019158832019999998,1.5074632343137569e-05,395.9069790149948,2.9789294599612868
fine,5776761.897700618,0.7303958146934338,0.003490834201040212,0.001893839216,8.467355491759548e-06,385.67187455296255,1.6801512211924017
fine,6015800.321053747,0.6906601958059273,0.0,0.001878300938,4.811808896955446e-06,367.70669258212,0.9429374151528644
fine,6254838.744406876,0.6287593301381542,0.0,0.0018590204879999999,7.378888857559724e-06,338.22502012667553,1.340284617915928
fine,6493877.167760005,0.5539999245837421,0.0,0.0018360059240000001,6.209458336057189e-06,301.7446649685429,1.020186767099209
fine,6732915.591113134,0.4625662142585355,6.206335383118183e-17,0.00179696679,9.580638410771484e-06,257.4208549848322,1.3716823382420293
fine,6971954.014466263,0.3788786563755512,0.003069558161278934,0.001767235994,7.5961468001500844e-06,214.39260883705938,1.8088308895260359
fine,7210992.437819392,0.3212188173176031,0.0013155033798577299,0.0017035834720000001,9.842465412114511e-06,188.5607236857042,1.4857598896954876
fine,7450030.8611725215,0.2711089708379212,0.0013426107886810132,0.001692447972,1.2978871963037487e-05,160.19078325219965,0.6662902389014679
fine,7689069.284525651,0.2204265004267863,0.0010741348085252585,0.0016691250719999997,6.502664106592751e-06,132.0614429096749,0.5114009658041898
fine,7928107.70787878,0.25493065014524774,0.0,0.0015938493180000003,1.2777675837579773e-05,159.95474966026046,1.2833691825622306
fine,8167146.131231909,0.31886556066772664,0.0016111675786342882,0.0015231452880000002,5.6542215249643535e-06,209.35107559525858,1.6625061263755525
fine,8406184.554585038,0.38436964894315834,0.0,0.0014605251139999998,8.359860663936327e-06,263.1791596041881,1.513665189818183
fine,8645222.977938168,0.4376994977910532,0.002148200348743348,0.0014009395600000003,4.716004294113864e-06,312.4393834946585,2.5226012160211795
fine,8884261.401291296,0.46589999625967027,0.001863640794175605,0.0013658657200000001,6.651015375204024e-06,341.10855601471536,2.100717360671675
fine,9123299.824644424,0.47506798104991904,0.0,0.001326805306,8.627141885704673e-06,358.0661128148709,2.323696521315565
fine,9362338.247997554,0.4709007114049365,0.0,0.001306747576,8.845462282177767e-06,360.37399901528727,2.421922312867424
fine,9601376.671350684,0.4471123979245113,0.0,0.001296516716,8.271540037482697e-06,344.86785124755056,2.1967188777444813
fine,9840415.094703812,0.425551587512798,0.0,0.001271391032,5.715477412576367e-06,334.718782556147,1.5027067156255307
