stage,Frequency [Hz],Vrms_mean [V],Vrms_std [V],Irms_mean [A],Irms_std [A],Z_mean [Ohm],Z_std [Ohm]
coarse,700.0000000000001,0.21768097042813134,0.0,0.006101164964999999,3.4968551650004594e-07,35.678591225514865,0.002044902354265096
coarse,822.8541080088764,0.1676691617227211,0.0,0.006202182965,5.377052096175731e-07,27.033894888142832,0.0023437338433324817
coarse,967.2698329529765,0.1205983285252962,0.0,0.00628723996,6.327955153380882e-06,19.181451698241887,0.019305667812178743
coarse,1137.0313651405945,0.08052532096630848,0.0005199983749999907,0.006308994255,1.6318681006902934e-06,12.763586025922901,0.0857231504779855
coarse,1336.5870424869697,0.06097148550909727,0.0004332959750000052,0.00631759502,6.859402467984814e-06,9.65102796663343,0.05810687275536881
coarse,1571.1659123169106,0.078686838544575,0.0,0.006303258245,8.972668865307313e-06,12.483530772415612,0.017770267937158742
coarse,1846.914750447834,0.11692717995330258,0.0,0.0062494995050000005,5.7095832021652716e-06,18.709854870454052,0.017093444522689804
coarse,2171.059127925984,0.1647275962048375,0.0,0.006162816425,1.1884421453148368e-05,26.72932165040678,0.05154502450561042
coarse,2552.0927459200916,0.21277825934935662,0.0013867020499999934,0.00604419038,1.352979529335933e-05,35.20359667896827,0.15062473815451716
coarse,3000.0000000000014,0.2647356930107197,0.0,0.0058836441,6.911403100668497e-07,44.99519181271181,0.005285498288544114
fine,935.6109297408788,0.12869839435324498,0.0,0.006257586415,6.180466820957249e-07,20.566778698009188,0.002031331010506517
fine,1024.7167325733435,0.10491074466931063,0.0,0.006301001645,1.257872253049609e-07,16.64985197606869,0.00033238186558352714
fine,1113.8225354058081,0.08530536363798001,0.0,0.006312604995,7.187351522031563e-06,13.51350496319147,0.015386090297445214
fine,1202.9283382382728,0.07133292996477857,0.0,0.006315527715,1.499837122507258e-06,11.294849012679855,0.002682346528555797
fine,1292.0341410707374,0.06250343388849518,0.0,0.006324273535,5.50542733230176e-06,9.883104711629475,0.00860347271608013
fine,1381.139943903202,0.06104332745199981,0.0003467015749999989,0.006315912585,1.4850182856936529e-05,9.664967298792064,0.03216875480340844
fine,1470.2457467356667,0.067655975692558,0.0,0.0063114923,2.8152749386150775e-07,10.719489550809401,0.00047814857172799564
fine,1559.3515495681315,0.0764806722815641,0.0,0.00630118721,8.478775991851789e-07,12.137502096837736,0.001633202727517973
fine,1648.4573524005962,0.08775244390370229,0.0006933025999999953,0.006288982465,2.041417277285583e-08,13.953361377260924,0.11028611547097251
fine,1737.5631552330608,0.10098884344620757,0.0,0.006278180055,7.0391843671019294e-06,16.08569777214759,0.018035512091031033
