Frequency [Hz],repeat,VL_rms_fft [V],VL_phase [deg],VL_real [V],VL_imag [V],VL_rms_scope [V],M,dt [s],Mdt [s]
5000.0,1,1.398480740132279,136.87969341912572,-1.0207791557231822,0.9559070539346356,1.4849241730691183,1500,4e-07,0.0006
5000.0,2,1.3989477467370883,136.8298394249393,-1.0202876186699943,0.9571143992697471,1.4849241730691183,1500,4e-07,0.0006
5000.0,3,1.398240392839677,136.78789303384679,-1.0190711028659913,0.9573767719513285,1.4849241730691183,1500,4e-07,0.0006
5000.0,4,1.3984030107792524,136.7960998312661,-1.0193267586808121,0.9573421225422745,1.4849241730691183,1500,4e-07,0.0006
5000.0,5,1.3991146959711247,136.84717263660562,-1.0206989145752396,0.95691988079844,1.4990662951871094,1500,4e-07,0.0006
5000.0,6,1.3987615742484505,136.8802137485292,-1.0209928249141833,0.9560897411162611,1.4849241730691183,1500,4e-07,0.0006
5000.0,7,1.3969363898126177,136.78499729773336,-1.0180723720920304,0.9565353743409682,1.4849241730691183,1500,4e-07,0.0006
5000.0,8,1.3987886632036943,136.89275569428705,-1.0212218638135084,0.9558847363445251,1.4849241730691183,1500,4e-07,0.0006
5000.0,9,1.3980125724217907,136.81491264858195,-1.0193563559367016,0.9567401801225037,1.4849241730691183,1500,4e-07,0.0006
5000.0,10,1.3978608864435702,136.90248737400063,-1.0207067508525889,0.9550773720556648,1.491995234128114,1500,4e-07,0.0006
