Frequency [Hz],repeat,VL_rms [V],VR_rms [V],Irms [A],XL [Ohm],L [H]
5000,1,1.4990662951871094,0.8662853127672051,0.015469380585128662,96.90538589684853,0.0030845942355422168
5000,2,1.4849241730691183,0.8738843052644675,0.015605076879722634,95.15647917112418,0.0030289248054610786
5000,3,1.4990662951871094,0.8662853127672051,0.015469380585128662,96.90538589684853,0.0030845942355422168
5000,4,1.4990662951871094,0.8738843052644675,0.015605076879722634,96.06273052938359,0.0030577716821312243
5000,5,1.4990662951871094,0.8738843052644675,0.015605076879722634,96.06273052938359,0.0030577716821312243
5000,6,1.4849241730691183,0.8738843052644675,0.015605076879722634,95.15647917112418,0.0030289248054610786
5000,7,1.4990662951871094,0.8738843052644675,0.015605076879722634,96.06273052938359,0.0030577716821312243
5000,8,1.4990662951871094,0.8738843052644675,0.015605076879722634,96.06273052938359,0.0030577716821312243
5000,9,1.4990662951871094,0.8738843052644675,0.015605076879722634,96.06273052938359,0.0030577716821312243
5000,10,1.4990662951871094,0.8662853127672051,0.015469380585128662,96.90538589684853,0.0030845942355422168
