Frequency [Hz],repeat,VC_rms_fft [V],VC_phase [deg],VC_real [V],VC_imag [V],VR_rms_fft [V],VR_phase [deg],VR_real [V],VR_imag [V],Irms [A],XC [Ohm],C [F],VC_rms_scope [V],VR_rms_scope [V],M_C,dt_C [s],Mdt_C [s],M_R,dt_R [s],Mdt_R [s]
1000.0,1,0.6360750163321757,104.02362417640714,-0.1541349364143425,0.6171173695323476,1.102010148838964,-171.36605143840725,-1.0895217352860445,-0.16543505216054483,0.019678752657838642,32.32293364278898,4.923901550854487e-06,0.0,1.1038273111880732,1000,9.999999999999159e-07,0.0009999999999999159,1000,9.999999999999159e-07,0.0009999999999999159
1000.0,2,0.6353244026784263,103.9982143523083,-0.15367967173224661,0.6164573425103865,1.1013621246789727,-171.38505724059704,-1.088935839707497,-0.16497656402625538,0.019667180797838798,32.30378615059263,4.926820105542816e-06,0.0,1.1038273111880732,1000,9.999999999999159e-07,0.0009999999999999159,1000,9.999999999999159e-07,0.0009999999999999159
1000.0,3,0.63634791512839,103.9612857216777,-0.1535292559150946,0.617549541872072,1.1016432897551105,-171.36212217316265,-1.0891476895028125,-0.16545467147574824,0.01967220160276983,32.347569833708526,4.920151464548174e-06,0.0,1.1038273111880732,1000,9.999999999999159e-07,0.0009999999999999159,1000,9.999999999999159e-07,0.0009999999999999159
1000.0,4,0.6368368719418732,104.01472857111884,-0.15422362196848893,0.6178804705536747,1.1008493125538203,-171.33825284991968,-1.0882937452434913,-0.16578882053417662,0.019658023438461077,32.39577335612984,4.912830490023801e-06,0.0,1.1038273111880732,1000,9.999999999999159e-07,0.0009999999999999159,1000,9.999999999999159e-07,0.0009999999999999159
1000.0,5,0.6359294052915845,104.03935038047159,-0.15426898977886436,0.6169337787049085,1.1011400402956981,-171.369419789418,-1.0886712033262758,-0.16524042904365288,0.019663215005280323,32.341069612513174,4.9211403642109685e-06,0.0,1.1038273111880732,1000,9.999999999999159e-07,0.0009999999999999159,1000,9.999999999999159e-07,0.0009999999999999159
1000.0,6,0.6362007428503741,104.0036581175442,-0.15395030181780006,0.6172930339584078,1.1009891214239214,-171.39683758157912,-1.0886009305492104,-0.1646968715586652,0.019660520025427168,32.359303926222125,4.91836732504389e-06,0.0,1.1038273111880732,1000,9.999999999999159e-07,0.0009999999999999159,1000,9.999999999999159e-07,0.0009999999999999159
1000.0,7,0.6364055173770623,104.06249773598961,-0.15463390271013358,0.6173332476714658,1.1012754349348446,-171.36551012064288,-1.0887937854495315,-0.16533504273870941,0.019665632766693652,32.361303850588484,4.918063370583294e-06,0.0,1.1038273111880732,1000,9.999999999999159e-07,0.0009999999999999159,1000,9.999999999999159e-07,0.0009999999999999159
1000.0,8,0.6365514061307981,104.03038884313112,-0.15432329001020878,0.617561344975154,1.100851178508214,-171.36458750844463,-1.088371676022839,-0.16528887456256813,0.01965805675907525,32.38119687679356,4.9150420133468255e-06,0.0,1.1038273111880732,1000,9.999999999999159e-07,0.0009999999999999159,1000,9.999999999999159e-07,0.0009999999999999159
1000.0,9,0.6360784199833334,104.03755820964838,-0.15428583714666824,0.6170831684825357,1.1008626837395632,-171.37608210643495,-1.0884161892915463,-0.16507224884377836,0.01965826220963506,32.356798032308966,4.918748231298279e-06,0.0,1.1038273111880732,1000,9.999999999999159e-07,0.0009999999999999159,1000,9.999999999999159e-07,0.0009999999999999159
1000.0,10,0.636653943086135,103.98333480801264,-0.15384084410089774,0.6177873727533179,1.1009744007125972,-171.3681891038913,-1.0885038903732958,-0.1652389532364055,0.019660257155582093,32.38278818267498,4.914800485803887e-06,0.0,1.1038273111880732,1000,9.999999999999159e-07,0.0009999999999999159,1000,9.999999999999159e-07,0.0009999999999999159
