Frequency [Hz],repeat,VL_rms_fft [V],VL_phase [deg],VL_real [V],VL_imag [V],VL_rms_scope [V],M,dt [s],Mdt [s]
500.0,1,0.2607939972125796,-123.06769423563912,-0.14229690697934122,-0.21855228035009772,0.0,1000,1.9999999999998318e-06,0.0019999999999998318
500.0,2,0.2665237053820472,-123.85404942968842,-0.14847483101156478,-0.22133709604732682,0.0,1000,1.9999999999998318e-06,0.0019999999999998318
500.0,3,0.2660386159750044,-123.38978475797566,-0.14640953344836435,-0.22212787692076866,0.0,1000,1.9999999999998318e-06,0.0019999999999998318
500.0,4,0.26545051990266016,-123.4483322964322,-0.14631228813705352,-0.22148745530321215,0.0,1000,1.9999999999998318e-06,0.0019999999999998318
500.0,5,0.27438752688291995,-124.73512337223195,-0.15634145961274648,-0.22549027232916521,0.0,1000,1.9999999999998318e-06,0.0019999999999998318
500.0,6,0.2765512101989871,-124.61253746742292,-0.1570876832024765,-0.2276049903859815,0.0,1000,1.9999999999998318e-06,0.0019999999999998318
500.0,7,0.25668569819943904,-120.9077649175161,-0.13184854305702215,-0.22023512288886637,0.0,1000,1.9999999999998318e-06,0.0019999999999998318
500.0,8,0.2572574860807172,-122.61598017639719,-0.138663258995646,-0.21668852011418785,0.0,1000,1.9999999999998318e-06,0.0019999999999998318
500.0,9,0.26239738884438185,-123.8700293895571,-0.14623691575815587,-0.21786958057951036,0.0,1000,1.9999999999998318e-06,0.0019999999999998318
500.0,10,0.2710469686222454,-124.54603521832753,-0.15370211973193398,-0.22325348281542826,0.0,1000,1.9999999999998318e-06,0.0019999999999998318
