stage,Frequency [Hz],repeat,Vrms [V],Irms [A],Z [Ohm]
coarse,100.0,1,0.7125939636789699,0.00250557554,284.4033046710577
coarse,100.0,2,0.7125939636789699,0.00253039971,281.61320160717605
coarse,100.0,3,0.7125939636789699,0.00251585757,283.24098000467086
coarse,166.81005372000593,1,0.6566988131846163,0.00359875755,182.4793151693746
coarse,166.81005372000593,2,0.6509383083947106,0.00358338398,181.6546348445501
coarse,166.81005372000593,3,0.6509383083947106,0.00360087957,180.77202965016423
coarse,278.2559402207126,1,0.5353646533975595,0.0048767915,109.77804841514333
coarse,278.2559402207126,2,0.5353646533975595,0.00487326737,109.85743501234562
coarse,278.2559402207126,3,0.5353646533975595,0.00487874215,109.7341562512295
coarse,464.15888336127773,1,0.3632778065272597,0.00593600655,61.199023866855356
coarse,464.15888336127773,2,0.3632778065272597,0.0059383628,61.17474104601014
coarse,464.15888336127773,3,0.3632778065272597,0.00594846811,61.07081685729332
coarse,774.263682681127,1,0.18642714347724867,0.00652541406,28.569396786638343
coarse,774.263682681127,2,0.18642714347724867,0.00652300986,28.579926671649808
coarse,774.263682681127,3,0.18642714347724867,0.00652362406,28.577235868071874
coarse,1291.549665014884,1,0.021326340909495003,0.00670008175,3.1829971193254476
coarse,1291.549665014884,2,0.02059094953886294,0.00668923184,3.078223334364644
coarse,1291.549665014884,3,0.02059094953886294,0.00669597834,3.0751218856037905
coarse,2154.4346900318824,1,0.15234317675364048,0.00653571356,23.309341107911173
coarse,2154.4346900318824,2,0.15234317675364048,0.00652984902,23.330275521996754
coarse,2154.4346900318824,3,0.15234317675364048,0.00653218199,23.32194310980005
coarse,3593.813663804626,1,0.3269984104267828,0.00595344324,54.92593063283875
coarse,3593.813663804626,2,0.3269984104267828,0.00595641462,54.89853062424704
coarse,3593.813663804626,3,0.3269984104267828,0.00595756108,54.88796607130762
coarse,5994.8425031894085,1,0.48473992414530803,0.00493099494,98.30468902190924
coarse,5994.8425031894085,2,0.4890296725336774,0.00493304385,99.13345338166361
coarse,5994.8425031894085,3,0.48473992414530803,0.00493051624,98.31423334796845
coarse,10000.0,1,0.600819847091692,0.00371561432,161.70134878037933
coarse,10000.0,2,0.600819847091692,0.00371418172,161.76371873686676
coarse,10000.0,3,0.600819847091692,0.00371337729,161.79876165820252
fine,904.0847655104188,1,0.13360118971914797,0.00661683781,20.191093322136
fine,904.0847655104188,2,0.13237548562740437,0.00661872374,20.00015272240451
fine,904.0847655104188,3,0.13360118971914797,0.00661718193,20.190043304302495
fine,990.1880765114112,1,0.10294978878981358,0.00665417314,15.471462287471164
fine,990.1880765114112,2,0.10294978878981358,0.00665288093,15.474467358280766
fine,990.1880765114112,3,0.10294978878981358,0.00666720979,15.441210346226946
fine,1076.2913875124034,1,0.0764806722815641,0.00667632697,11.455501299626148
fine,1076.2913875124034,2,0.0764806722815641,0.00668002898,11.449152767233072
fine,1076.2913875124034,3,0.0764806722815641,0.00668850355,11.434646286696537
fine,1162.3946985133957,1,0.05086063566615984,0.00669378601,7.598186674951659
fine,1162.3946985133957,2,0.051473419246417546,0.00669236295,7.691366955287077
fine,1162.3946985133957,3,0.05086063566615984,0.006681934,7.611663878475879
fine,1248.498009514388,1,0.029783336562917206,0.00669746334,4.446957758624657
fine,1248.498009514388,2,0.029783336562917206,0.00670615863,4.441191777015451
fine,1248.498009514388,3,0.029783336562917206,0.00669956068,4.445565610268822
fine,1334.6013205153804,1,0.01442497752303277,0.00670022424,2.152909664861123
fine,1334.6013205153804,2,0.01442497752303277,0.00670101447,2.1526557788544474
fine,1334.6013205153804,3,0.0141421353055329,0.00669926498,2.110998049450628
fine,1420.7046315163725,1,0.021694036612488702,0.00669111637,3.242214813323999
fine,1420.7046315163725,2,0.021326340909495003,0.00669402303,3.1858780308819767
fine,1420.7046315163725,3,0.021326340909495003,0.00669336598,3.186190770565784
fine,1506.8079425173648,1,0.038975724895119024,0.00669860886,5.818480480008057
fine,1506.8079425173648,2,0.03824033614078205,0.006686131,5.719351915297809
fine,1506.8079425173648,3,0.03824033614078205,0.0066716983,5.731724430761813
fine,1592.9112535183572,1,0.05576286732653688,0.00667114183,8.358819036910939
fine,1592.9112535183572,2,0.05515008904958003,0.00667885318,8.257418985452233
fine,1592.9112535183572,3,0.05576286732653688,0.00667361217,8.355724891717356
fine,1679.0145645193495,1,0.07353910676368053,0.00666638836,11.03132652830933
fine,1679.0145645193495,2,0.07280371274139803,0.00664591277,10.954659692501206
fine,1679.0145645193495,3,0.07280371274139803,0.00665579364,10.93839693344189
