Frequency [Hz],1/f [1/Hz],repeat,Vrms [V],Irms [A],XC [Ohm]
200.0,0.005,1,1.8624948609813377,0.0113177057,164.56470157033132
200.0,0.005,2,1.8624948609813377,0.0113164429,164.58306531828458
200.0,0.005,3,1.8624948609813377,0.0113174431,164.56851998499005
230.0,0.004347826086956522,1,1.7618689229785898,0.0123489676,142.67337805458246
230.0,0.004347826086956522,2,1.7771896395778866,0.0123550044,143.8437075407182
230.0,0.004347826086956522,3,1.7618689229785898,0.0123478323,142.6864959105891
300.0,0.0033333333333333335,1,1.5497195578596827,0.0142356977,108.86151072593252
300.0,0.0033333333333333335,2,1.5497195578596827,0.014183213,109.26435059952091
300.0,0.0033333333333333335,3,1.5497195578596827,0.0142069906,109.08147977937584
400.0,0.0025,1,1.3108345922233025,0.0159266461,82.30449675297942
400.0,0.0025,2,1.3108345922233025,0.0159371067,82.25047475043274
400.0,0.0025,3,1.3108345922233025,0.0159284081,82.29539223215298
500.0,0.002,1,1.1231926922582731,0.0169688016,66.1916332534805
500.0,0.002,2,1.1231926922582731,0.0169713032,66.18187649009023
500.0,0.002,3,1.1231926922582731,0.0169701893,66.18622057788555
1000.0,0.001,1,0.6232439092657144,0.0187435616,33.25109296547537
1000.0,0.001,2,0.6232439092657144,0.0187633634,33.21600162930887
1000.0,0.001,3,0.6232439092657144,0.0187524967,33.235249643622886
2000.0,0.0005,1,0.32651361632054504,0.0192925651,16.924323677443237
2000.0,0.0005,2,0.32651361632054504,0.0192979705,16.91958314064917
2000.0,0.0005,3,0.32651361632054504,0.0193138607,16.90566279793791
5000.0,0.0002,1,0.13886148519214345,0.019480899,7.1280840371968175
5000.0,0.0002,2,0.14020964699084712,0.0194768999,7.198766113227656
5000.0,0.0002,3,0.14020964699084712,0.0194727685,7.200293424679039
