Frequency [Hz],repeat,VC_rms_fft [V],VC_phase [deg],VC_real [V],VC_imag [V],VR_rms_fft [V],VR_phase [deg],VR_real [V],VR_imag [V],Irms [A],XC [Ohm],C [F],VC_rms_scope [V],VR_rms_scope [V],M_C,dt_C [s],Mdt_C [s],M_R,dt_R [s],Mdt_R [s]
500.0,1,1.1356104462266068,116.99987281070072,-0.5155541078434427,1.0118374609910155,0.9791295850817595,-153.4405974945372,-0.8758032898372001,-0.4377937207095549,0.01748445687645999,64.94971243605077,4.900866751291584e-06,1.3788581727202773,0.9810116475067359,1000,1.9999999999998318e-06,0.0019999999999998318,1000,1.9999999999998318e-06,0.0019999999999998318
500.0,2,1.1357202420619008,117.0036984433934,-0.5156715195474332,1.0119008608340956,0.9794706761459868,-153.4784819158352,-0.8763977679623352,-0.437366845726232,0.01749054778832119,64.93337177353845,4.90210006795778e-06,1.3788581727202773,0.9810116475067359,1000,1.9999999999998318e-06,0.0019999999999998318,1000,1.9999999999998318e-06,0.0019999999999998318
500.0,3,1.1358959953234222,116.97983940956624,-0.5153298356165408,1.0122721337245322,0.9796360513212712,-153.44739396887348,-0.8763082615034723,-0.43791622928260426,0.01749350091645127,64.93245695921283,4.902169132206661e-06,1.3788581727202773,0.9810116475067359,1000,1.9999999999998318e-06,0.0019999999999998318,1000,1.9999999999998318e-06,0.0019999999999998318
500.0,4,1.1371253232019705,116.9720309498486,-0.5157494434319024,1.013437966659464,0.980248878973387,-153.39893592891713,-0.8764855368043779,-0.43893162166939326,0.01750444426738191,64.96209224539106,4.899932794365535e-06,1.3788581727202773,0.9810116475067359,1000,1.9999999999998318e-06,0.0019999999999998318,1000,1.9999999999998318e-06,0.0019999999999998318
500.0,5,1.1374158848136493,117.02536495173594,-0.5168246093808951,1.0132162741313928,0.9797007411053337,-153.37444957436935,-0.8758078613546063,-0.4390605107633921,0.017494656091166672,65.01504681695049,4.8959418129773935e-06,1.3788581727202773,0.9810116475067359,1000,1.9999999999998318e-06,0.0019999999999998318,1000,1.9999999999998318e-06,0.0019999999999998318
500.0,6,1.1382977720797167,116.96576333739954,-0.5161702362157545,1.0145393561447573,0.9798472524740456,-153.3970896373334,-0.876112285374168,-0.43878001503873043,0.01749727236560796,65.05572687529948,4.892880326953159e-06,1.3788581727202773,0.9810116475067359,1000,1.9999999999998318e-06,0.0019999999999998318,1000,1.9999999999998318e-06,0.0019999999999998318
500.0,7,1.1365972251917411,117.02612338876737,-0.5164660252773544,1.0124801711874543,0.9796535863118214,-153.4384205791073,-0.8762553506677562,-0.4380613080377461,0.017493814041282526,64.97137916920566,4.899232404391676e-06,1.3788581727202773,0.9810116475067359,1000,1.9999999999998318e-06,0.0019999999999998318,1000,1.9999999999998318e-06,0.0019999999999998318
500.0,8,1.1377351440930306,116.99585613721325,-0.516447628269403,1.013766790420409,0.9800322611389766,-153.41740799040795,-0.8764332828416791,-0.4385520876709318,0.017500576091767438,65.01129666401326,4.896224233595234e-06,1.3788581727202773,0.9810116475067359,1000,1.9999999999998318e-06,0.0019999999999998318,1000,1.9999999999998318e-06,0.0019999999999998318
500.0,9,1.1379308724698556,117.04568855353277,-0.5174181439501353,1.0134915563689733,0.9798653001138287,-153.388401389062,-0.8760618750787981,-0.43892094664140147,0.017497594644889796,65.03356007290924,4.894548073747354e-06,1.3788581727202773,0.9810116475067359,1000,1.9999999999998318e-06,0.0019999999999998318,1000,1.9999999999998318e-06,0.0019999999999998318
500.0,10,1.1375223147897062,117.00834184556716,-0.5165718826494121,1.0134646055489918,0.9807118083559871,-153.37562608574248,-0.8767207342342878,-0.43949562593109154,0.01751271086349977,64.95409669330782,4.900535953671203e-06,1.3788581727202773,0.9810116475067359,1000,1.9999999999998318e-06,0.0019999999999998318,1000,1.9999999999998318e-06,0.0019999999999998318
