stage,Frequency [Hz],Vrms_mean [V],Vrms_std [V],Irms_mean [A],Irms_std [A],Z_mean [Ohm],Z_std [Ohm]
coarse,100.0,0.6906601958059273,0.0,0.0023952822200000003,5.337734050854304e-06,288.34303219319537,0.6422361561918343
coarse,166.81005372000593,0.6113606053241232,0.0,0.0032713817400000004,6.549912547912411e-06,186.88206199950807,0.37401981540419116
coarse,278.2559402207126,0.4691794762501022,0.0,0.004159042143999999,8.042771875095594e-06,112.80984044704101,0.2182751450963412
coarse,464.15888336127773,0.3123398503184963,0.0012606726791308009,0.00477199778,5.723464946738846e-06,65.45263843511292,0.25206979239093225
coarse,774.263682681127,0.18005357063802707,0.0,0.005065628141999999,3.658073062087293e-06,35.54418933135939,0.02567044535853769
coarse,1291.549665014884,0.10854372503854044,0.0006041806188739139,0.005147869046,6.098744807985522e-06,21.085173556292695,0.11410404134633784
coarse,2154.4346900318824,0.16093283094251412,0.0,0.005070599446,5.929818975725869e-06,31.738457880537897,0.03710135135098073
coarse,3593.813663804626,0.283125543130923,0.0,0.004784438388,5.727631186133665e-06,59.17640580879421,0.07081561190751234
coarse,5994.8425031894085,0.4263114951877015,0.001699205217708145,0.004191984982,9.993549720560719e-06,101.69743725196136,0.5151356547307303
coarse,10000.0,0.5506607899610506,0.0021377000619357232,0.003355939452,4.414560501756678e-06,164.08594124376344,0.7528284453700436
fine,904.0847655104188,0.14587197071836303,0.0006029209812962813,0.005115427077999999,4.428012516707686e-06,28.5160847622851,0.1140782240124657
fine,990.1880765114112,0.13237548562740437,0.0,0.005132397262,3.6799256265678125e-06,25.792146117976102,0.018509070557968625
fine,1076.2913875124034,0.12067767627233075,0.000604180618873929,0.005133806542,1.2582915452192486e-06,23.506479465998318,0.11956560931517453
fine,1162.3946985133957,0.11361791477262732,0.0,0.005146751551999999,5.3233675286014735e-06,22.07567448338883,0.022808923286470738
fine,1248.498009514388,0.10986741845359915,0.000604180618873929,0.0051512927739999995,6.032285380038861e-06,21.32816299711403,0.12301846688033757
fine,1334.6013205153804,0.10687170054880771,1.5515838457795457e-17,0.00515055293,5.548476958305699e-06,20.749577994614818,0.022345694770635662
fine,1420.7046315163725,0.10804825932625847,0.0004384854206401929,0.0051444327460000005,2.2489998047534567e-06,21.002971026066728,0.09129788691818756
fine,1506.8079425173648,0.1109705131781203,0.000604186408984039,0.005140628386,7.535867581246508e-06,21.586970329518046,0.11685133093029432
fine,1592.9112535183572,0.11472100318975595,1.5515838457795457e-17,0.005139677876,7.612209852659847e-06,22.32069931051147,0.03304450419369775
fine,1679.0145645193495,0.11913334621631348,0.0,0.005125455837999999,4.952157883602044e-06,23.243480963648235,0.022460990369244156
