Frequency [Hz],repeat,Vrms [V],Irms [A],XL [Ohm]
200,1,0.04242640591659869,0.00616878318,6.877597198447603
200,2,0.04242640591659869,0.00617189333,6.874131429066467
200,3,0.04242640591659869,0.00616147323,6.8857567553853825
200,4,0.04242640591659869,0.00615100609,6.897474217359894
200,5,0.04242640591659869,0.00616297871,6.884074716623302
500,1,0.0707106739113694,0.00616637897,11.467130751350723
500,2,0.0707106739113694,0.00617359811,11.453721582043409
500,3,0.0707106739113694,0.0061800424,11.441778119737398
500,4,0.0707106739113694,0.00616738014,11.465269256350622
500,5,0.0707106739113694,0.00618068222,11.440593674684896
1000,1,0.1131370824442632,0.0061151213,18.5012000406702
1000,2,0.1131370824442632,0.00612584222,18.4688208382003
1000,3,0.1131370824442632,0.00611483632,18.50206228320813
1000,4,0.1131370824442632,0.00612967694,18.457266761641634
1000,5,0.1131370824442632,0.00611754926,18.49385720259214
2000,1,0.21213204277053493,0.00591168646,35.88350705097018
2000,2,0.22627416492388172,0.00630308827,35.89893639929649
2000,3,0.24041628704187315,0.00631399546,38.07672789202056
2000,4,0.24041628704187315,0.00633605011,37.94418965570226
2000,5,0.24041628704187315,0.0063361153,37.94379926165061
5000,1,0.45254832984776344,0.00518668676,87.25191066825934
5000,2,0.45254832984776344,0.00517808367,87.39687472986768
5000,3,0.4384062076944167,0.00517876027,84.65466344021688
5000,4,0.4384062076944167,0.00518364087,84.57495777372723
5000,5,0.4384062076944167,0.00517509738,84.71458129246192
