Frequency [Hz],repeat,Vrms [V],Irms [A],XL [Ohm]
200.0,1,0.14290599162468115,0.0326249674,4.380264656591845
200.0,2,0.14290599162468115,0.0326269455,4.379999090772416
200.0,3,0.14290599162468115,0.0326261483,4.3801061133741355
500.0,1,0.30726574066425244,0.0325395763,9.442831640811884
500.0,2,0.30726574066425244,0.0325388871,9.443031647639001
500.0,3,0.30726574066425244,0.0325305052,9.445464765307502
1000.0,1,0.5902791731463891,0.0321917571,18.336345273504474
1000.0,2,0.5902791731463891,0.0321656056,18.351253213973035
1000.0,3,0.5902791731463891,0.0322011337,18.33100594052653
1500.0,1,0.8662853127672051,0.0316387415,27.380523740718484
1500.0,2,0.8738843052644675,0.0316399373,27.619659829871647
1500.0,3,0.8738843052644675,0.0316375233,27.621767259653588
2000.0,1,1.1317667942345353,0.0309203807,36.60261512351092
2000.0,2,1.1317667942345353,0.030930575,36.59055139565092
2000.0,3,1.1317667942345353,0.030924987,36.59716313654506
3000.0,1,1.5927290680343231,0.0291280821,54.680190153485015
3000.0,2,1.5927290680343231,0.0291419625,54.65414582268861
3000.0,3,1.5927290680343231,0.0291240998,54.687666879726976
4000.0,1,1.9762465077128655,0.0271073096,72.90456105289273
4000.0,2,1.9762465077128655,0.0271159466,72.88133941497235
4000.0,3,1.9762465077128655,0.0270971935,72.93177825640377
5000.0,1,2.2800799354795847,0.0250670854,90.95911627123529
5000.0,2,2.2800799354795847,0.0250831228,90.90095972737433
5000.0,3,2.2800799354795847,0.0250841621,90.89719347171595
