Frequency [Hz],repeat,VL_rms [V],VR_rms [V],Irms [A],XL [Ohm],L [H]
5000.0,1,0.0282842706110658,0.0141421353055329,0.0002525381304559446,112.0,0.0035650707252584558
5000.0,2,0.0282842706110658,0.0141421353055329,0.0002525381304559446,112.0,0.0035650707252584558
5000.0,3,0.0282842706110658,0.0141421353055329,0.0002525381304559446,112.0,0.0035650707252584558
5000.0,4,0.0282842706110658,0.0282842706110658,0.0005050762609118892,56.0,0.0017825353626292279
5000.0,5,0.0282842706110658,0.0141421353055329,0.0002525381304559446,112.0,0.0035650707252584558
5000.0,6,0.0282842706110658,0.0141421353055329,0.0002525381304559446,112.0,0.0035650707252584558
5000.0,7,0.0282842706110658,0.0141421353055329,0.0002525381304559446,112.0,0.0035650707252584558
5000.0,8,0.0282842706110658,0.0141421353055329,0.0002525381304559446,112.0,0.0035650707252584558
5000.0,9,0.0282842706110658,0.0141421353055329,0.0002525381304559446,112.0,0.0035650707252584558
5000.0,10,0.0282842706110658,0.0141421353055329,0.0002525381304559446,112.0,0.0035650707252584558
