stage,Frequency [Hz],repeat,Vrms [V],Irms [A],Z [Ohm]
coarse,100.0,1,0.7125939636789699,0.00246636895,288.92431672843185
coarse,100.0,2,0.7125939636789699,0.00247372524,288.06512225220695
coarse,100.0,3,0.7125939636789699,0.00248461636,286.80241149139414
coarse,100.0,4,0.7125939636789699,0.00246178894,289.46184301200486
coarse,100.0,5,0.7125939636789699,0.00246316125,289.3005740809579
coarse,166.81005372000593,1,0.6500857197673063,0.00350107951,185.68150706389022
coarse,166.81005372000593,2,0.6500857197673063,0.00352011248,184.67754182880722
coarse,166.81005372000593,3,0.6500857197673063,0.00351054431,185.18089001625685
coarse,166.81005372000593,4,0.6500857197673063,0.00352139352,184.6103583922385
coarse,166.81005372000593,5,0.6500857197673063,0.00351001485,185.2088231955219
coarse,278.2559402207126,1,0.5353646533975595,0.00477119023,112.20777784782635
coarse,278.2559402207126,2,0.5401446960515534,0.00477059837,113.22367849036793
coarse,278.2559402207126,3,0.5353646533975595,0.00475928979,112.48834952694894
coarse,278.2559402207126,4,0.5353646533975595,0.00477326289,112.15905466240922
coarse,278.2559402207126,5,0.5353646533975595,0.00476423558,112.37157449664979
coarse,464.15888336127773,1,0.372843244527515,0.00581893604,64.07412660399598
coarse,464.15888336127773,2,0.372843244527515,0.00582887838,63.96483512279338
coarse,464.15888336127773,3,0.372843244527515,0.0058279098,63.97546587414839
coarse,464.15888336127773,4,0.372843244527515,0.00582885463,63.96509575115532
coarse,464.15888336127773,5,0.372843244527515,0.00582822319,63.97202584266767
coarse,774.263682681127,1,0.19120166493542903,0.00641928613,29.785502790078784
coarse,774.263682681127,2,0.19120166493542903,0.00641065789,29.825591728063504
coarse,774.263682681127,3,0.19120166493542903,0.00642205775,29.77264801697385
coarse,774.263682681127,4,0.19120166493542903,0.00642188359,29.77345544431288
coarse,774.263682681127,5,0.19120166493542903,0.00642894022,29.740775056612524
coarse,1291.549665014884,1,0.03309259909194204,0.00659981091,5.01417382152575
coarse,1291.549665014884,2,0.03309259909194204,0.00660528475,5.010018544914667
coarse,1291.549665014884,3,0.03309259909194204,0.00660100672,5.013265475351923
coarse,1291.549665014884,4,0.03309259909194204,0.00660021137,5.013869592473678
coarse,1291.549665014884,5,0.03493107622805231,0.00660068635,5.292036975526388
coarse,2154.4346900318824,1,0.15234317675364048,0.00643157819,23.68674876572409
coarse,2154.4346900318824,2,0.15234317675364048,0.00642939191,23.6948033167324
coarse,2154.4346900318824,3,0.15234317675364048,0.00642876327,23.697120325545985
coarse,2154.4346900318824,4,0.15234317675364048,0.0064385212,23.661206047382507
coarse,2154.4346900318824,5,0.15099500445440114,0.00644266745,23.43672176567194
coarse,3593.813663804626,1,0.3195162279392637,0.00588520244,54.29145916334251
coarse,3593.813663804626,2,0.32086442134564047,0.0058926004,54.45209238108875
coarse,3593.813663804626,3,0.3195162279392637,0.00588587718,54.28523534690266
coarse,3593.813663804626,4,0.3181680767118064,0.00588484947,54.06562705363582
coarse,3593.813663804626,5,0.3181680767118064,0.00587241398,54.18011703456342
coarse,5994.8425031894085,1,0.48473992414530803,0.0048737484,99.45936563842895
coarse,5994.8425031894085,2,0.48473992414530803,0.00488262577,99.27853310480275
coarse,5994.8425031894085,3,0.48473992414530803,0.00487326225,99.46928756918594
coarse,5994.8425031894085,4,0.48473992414530803,0.00488465279,99.23733476772011
coarse,5994.8425031894085,5,0.48473992414530803,0.00487589836,99.41551040561642
coarse,10000.0,1,0.5962730029154772,0.00369622489,161.31945989776537
coarse,10000.0,2,0.5962730029154772,0.00368126319,161.97510803770518
coarse,10000.0,3,0.5962730029154772,0.00368036586,162.01460006899347
coarse,10000.0,4,0.5962730029154772,0.00368087878,161.99202379478447
coarse,10000.0,5,0.5962730029154772,0.0036823689,161.92647154810516
fine,904.0847655104188,1,0.13886148519214345,0.00652198261,21.291299516688444
fine,904.0847655104188,2,0.13751332342879516,0.00651133806,21.1190575825816
fine,904.0847655104188,3,0.13886148519214345,0.0065036756,21.35123178532205
fine,904.0847655104188,4,0.13751332342879516,0.00651591225,21.104231940630438
fine,904.0847655104188,5,0.13751332342879516,0.00651407707,21.110177535678922
fine,990.1880765114112,1,0.11054991923401902,0.0065392293,16.905649605224735
fine,990.1880765114112,2,0.10920174693477969,0.00655287085,16.66471832491246
fine,990.1880765114112,3,0.10920174693477969,0.00654814159,16.676754073483572
fine,990.1880765114112,4,0.10920174693477969,0.00654974952,16.672660015673344
fine,990.1880765114112,5,0.10920174693477969,0.0065588518,16.649521938394717
fine,1076.2913875124034,1,0.08236832360349602,0.00657726312,12.52319119681136
fine,1076.2913875124034,2,0.08236832360349602,0.00657707173,12.523555616367897
fine,1076.2913875124034,3,0.08236832360349602,0.00657417718,12.529069623203558
fine,1076.2913875124034,4,0.08322632806780328,0.00657513505,12.657736675355935
fine,1076.2913875124034,5,0.08236832360349602,0.00657866895,12.520515050920144
fine,1162.3946985133957,1,0.060060239033114166,0.00658695074,9.118064094269235
fine,1162.3946985133957,2,0.060060239033114166,0.00658535725,9.120270435307692
fine,1162.3946985133957,3,0.060060239033114166,0.00658708438,9.117879105279378
fine,1162.3946985133957,4,0.060060239033114166,0.00658573443,9.11974809666204
fine,1162.3946985133957,5,0.0592022345688069,0.00658132276,8.995491746526483
fine,1248.498009514388,1,0.04044650767173848,0.00659961626,6.128615070679651
fine,1248.498009514388,2,0.040078813276892326,0.00659018336,6.081593043397859
fine,1248.498009514388,3,0.040078813276892326,0.00660959166,6.063735150151822
fine,1248.498009514388,4,0.040078813276892326,0.00660659978,6.066481187224622
fine,1248.498009514388,5,0.040078813276892326,0.00659866817,6.073773107595486
fine,1334.6013205153804,1,0.028312556402592837,0.00659818994,4.290958074873613
fine,1334.6013205153804,2,0.027577165031960775,0.00660774624,4.173460061922834
fine,1334.6013205153804,3,0.02794486204310202,0.00659722509,4.235850931547042
fine,1334.6013205153804,4,0.027577165031960775,0.00659521343,4.18139084119993
fine,1334.6013205153804,5,0.02794486204310202,0.00659647305,4.236333845569493
fine,1420.7046315163725,1,0.03015103357405845,0.00659418711,4.572365489649937
fine,1420.7046315163725,2,0.030518727933549268,0.00659442553,4.627958537815085
fine,1420.7046315163725,3,0.029415642168071052,0.00660045678,4.45660704228883
fine,1420.7046315163725,4,0.029783336562917206,0.00659558969,4.515644235431087
fine,1420.7046315163725,5,0.03015103357405845,0.00659434637,4.572255062492031
fine,1506.8079425173648,1,0.04228498480784876,0.00658543501,6.420985818497776
fine,1506.8079425173648,2,0.041917290448357944,0.00657612458,6.3741630710344515
fine,1506.8079425173648,3,0.041917290448357944,0.00659517432,6.355751707918153
fine,1506.8079425173648,4,0.041917290448357944,0.00658650231,6.364119903930915
fine,1506.8079425173648,5,0.041917290448357944,0.00658473419,6.365828785012496
fine,1592.9112535183572,1,0.05698842395116127,0.00657428103,8.668388785193333
fine,1592.9112535183572,2,0.05821398580837584,0.00657556392,8.85307884108833
fine,1592.9112535183572,3,0.05637564563884907,0.00657518581,8.574000380811912
fine,1592.9112535183572,4,0.05760120222811812,0.00657441001,8.761425305161051
fine,1592.9112535183572,5,0.05698842395116127,0.00657491805,8.667548936394923
fine,1679.0145645193495,1,0.07292067552156146,0.00656473357,11.107941357254726
fine,1679.0145645193495,2,0.07230789194130376,0.0065719448,11.002510541674628
fine,1679.0145645193495,3,0.07292067552156146,0.00656081643,11.114573361346352
fine,1679.0145645193495,4,0.07230789194130376,0.00656319549,11.017177844462433
fine,1679.0145645193495,5,0.07230789194130376,0.00656168116,11.019720431113383
