stage,Frequency [Hz],repeat,Vrms [V],Irms [A],Z [Ohm]
coarse,100.0,1,0.7125939636789699,0.00249945116,285.10017522365587
coarse,100.0,2,0.7125939636789699,0.00252052979,282.7159458722247
coarse,100.0,3,0.7125939636789699,0.00251215929,283.6579537434387
coarse,100.0,4,0.7125939636789699,0.00250956649,283.95101963565423
coarse,100.0,5,0.7125939636789699,0.00252035377,282.73569058480626
coarse,316.22776601683796,1,0.49331942092204667,0.00515522109,95.69316471780003
coarse,316.22776601683796,2,0.49331942092204667,0.00514153345,95.94791626261745
coarse,316.22776601683796,3,0.49331942092204667,0.00514652813,95.85479928622223
coarse,316.22776601683796,4,0.49331942092204667,0.00515696453,95.66081326567641
coarse,316.22776601683796,5,0.49331942092204667,0.00515020033,95.78645281979675
coarse,1000.0,1,0.10124440085253983,0.00660180999,15.335855016411921
coarse,1000.0,2,0.10038639638823257,0.00659733778,15.216197765795245
coarse,1000.0,3,0.10038639638823257,0.00659361761,15.22478286214001
coarse,1000.0,4,0.10210240531684711,0.00660230499,15.464660519544873
coarse,1000.0,5,0.10038639638823257,0.00660659606,15.19487425544715
coarse,3162.2776601683795,1,0.283125543130923,0.00609242357,46.4717431212556
coarse,3162.2776601683795,2,0.283125543130923,0.00609195745,46.47529885996216
coarse,3162.2776601683795,3,0.283125543130923,0.00608660839,46.51614248685432
coarse,3162.2776601683795,4,0.283125543130923,0.00609081518,46.4840148262261
coarse,3162.2776601683795,5,0.283125543130923,0.00609269366,46.4696830220942
coarse,10000.0,1,0.600819847091692,0.00369204581,162.73358403743424
coarse,10000.0,2,0.600819847091692,0.00369874854,162.43868448858976
coarse,10000.0,3,0.600819847091692,0.0037100839,161.94238817394182
coarse,10000.0,4,0.5902791731463891,0.00370053854,159.51169451849273
coarse,10000.0,5,0.5902791731463891,0.00370757515,159.20895713911264
fine,700.0,1,0.2196420632742119,0.00640589697,34.28747984908847
fine,700.0,2,0.2196420632742119,0.00640117284,34.31278435440776
fine,700.0,3,0.2196420632742119,0.00639396627,34.35145792131492
fine,700.0,4,0.21768097042813134,0.0063921418,34.05446519164067
fine,700.0,5,0.2196420632742119,0.00640067784,34.315437952773436
fine,850.0,1,0.15369134908823517,0.00653715106,23.510447850693414
fine,850.0,2,0.15369134908823517,0.00652492745,23.554491642391394
fine,850.0,3,0.15099500445440114,0.00652896892,23.12692958176942
fine,850.0,4,0.15099500445440114,0.00652769441,23.13144503564485
fine,850.0,5,0.15234317675364048,0.00652493117,23.34785958418631
fine,1000.0,1,0.10098884344620757,0.00659988821,15.301599092722748
fine,1000.0,2,0.10098884344620757,0.00659506535,15.312788893927724
fine,1000.0,3,0.10098884344620757,0.00659583695,15.310997559787703
fine,1000.0,4,0.10196932665390163,0.00659257779,15.467292143078621
fine,1000.0,5,0.10196932665390163,0.00660568709,15.436596566656569
fine,1150.0,1,0.05882675885274251,0.00663131801,8.871050787193738
fine,1150.0,2,0.05882675885274251,0.00664052553,8.858750499035052
fine,1150.0,3,0.05882675885274251,0.00662548654,8.878858706841854
fine,1150.0,4,0.05943954239764489,0.00663148751,8.963229186213892
fine,1150.0,5,0.05882675885274251,0.00662870845,8.87454310239614
fine,1300.0,1,0.03125411930418133,0.00664561521,4.70296854641112
fine,1300.0,2,0.030886422293040085,0.00664761616,4.646240328809852
fine,1300.0,3,0.03125411930418133,0.00663797371,4.7083825079176655
fine,1300.0,4,0.03125411930418133,0.0066385367,4.707983207230191
fine,1300.0,5,0.03125411930418133,0.00663652457,4.7094106221596235
