Frequency [Hz],repeat,Vrms [V],Irms [A],XL [Ohm]
200.0,1,0.08837434962105671,0.0195641294,4.517162395228111
200.0,2,0.08923234881741847,0.0195564404,4.562811380409416
200.0,3,0.08837434962105671,0.019564325,4.517117233590053
500.0,1,0.18531345517591669,0.019512454,9.497188573816327
500.0,2,0.18531345517591669,0.0195136853,9.496589307808335
500.0,3,0.1870293376738387,0.019541584,9.570838150778293
1000.0,1,0.3554445196781286,0.0193371065,18.381473964480087
1000.0,2,0.35850867986955576,0.0193434078,18.533894522430312
1000.0,3,0.35850867986955576,0.0193257034,18.550873541273315
2000.0,1,0.6786487233155238,0.0185884386,36.509183902919304
2000.0,2,0.6786487233155238,0.0185890514,36.5079803542597
2000.0,3,0.6786487233155238,0.0185840763,36.51775382107767
5000.0,1,1.3672199105879432,0.0151049066,90.51495297481304
5000.0,2,1.3672199105879432,0.0150953382,90.57232719621632
5000.0,3,1.3672199105879432,0.015096982,90.56246543765789
