Frequency [Hz],repeat,VL_rms_fft [V],VL_phase [deg],VL_real [V],VL_imag [V],VL_rms_scope [V],M,dt [s],Mdt [s]
500.0,1,0.1524585844018804,-162.97728612348035,-0.1457791871094488,-0.04463237125152115,0.18384775635563258,2000,4e-06,0.008
500.0,2,0.15199260715170146,-163.004059850765,-0.14535440152669674,-0.044428038282004666,0.18384775635563258,2000,4e-06,0.008
500.0,3,0.15417027570189984,-163.3145204223187,-0.14767898089522546,-0.04426502583019065,0.1697056237017501,2000,4e-06,0.008
500.0,4,0.15390882264423275,-163.23288617530912,-0.1473654253721234,-0.0443999672593012,0.1697056237017501,2000,4e-06,0.008
500.0,5,0.15599293948405396,-164.1243318069571,-0.15004298894869536,-0.042671988894559476,0.18384775635563258,2000,4e-06,0.008
500.0,6,0.15216550756012642,-162.9239516191041,-0.1454574205479446,-0.04468199300131173,0.18384775635563258,2000,4e-06,0.008
500.0,7,0.15370605133638549,-163.20697965754235,-0.14715121062008943,-0.04440801088166015,0.1697056237017501,2000,4e-06,0.008
500.0,8,0.15521640882558324,-163.5410929181276,-0.14885613490568278,-0.043977092555690406,0.1697056237017501,2000,4e-06,0.008
500.0,9,0.15211472856194466,-162.50603637264325,-0.1450792133888689,-0.045726496563165075,0.1697056237017501,2000,4e-06,0.008
500.0,10,0.15333903271940963,-163.34107212568483,-0.1469031238458477,-0.04395828886178027,0.18384775635563258,2000,4e-06,0.008
