Frequency [Hz],Vrms_mean [V],Vrms_std [V],Irms_mean [A],Irms_std [A],XL_mean [Ohm],XL_std [Ohm]
200,0.030334881015433367,0.00031248064597948276,0.006726298062000001,4.787882825742498e-06,4.509887079816355,0.04575403761497394
500,0.06379026834081523,0.00019377750558571334,0.006706205661,4.6927639902382e-06,9.512129468158761,0.02965240364286552
1000,0.12133952298693118,0.0007353922663006496,0.00663631591,5.27475163005383e-06,18.284187189084914,0.11312100202100375
2000,0.23148362287706203,0.0006588765255908401,0.006373536959000001,5.334114280885237e-06,36.319511278990014,0.1064754477066149
5000,0.45704552501631185,0.0,0.005195762498,7.280187400857012e-06,87.96520870017233,0.12323812478610423
