Frequency [Hz],repeat,VL_rms_fft [V],VL_phase [deg],VL_real [V],VL_imag [V],VL_rms_scope [V],M,dt [s],Mdt [s]
500.0,1,0.16103778067697672,-161.35094024224443,-0.15258248432481905,-0.05149516756582504,0.0,1500,4e-06,0.006
500.0,2,0.15959097966110422,-161.14943114968887,-0.15103123161029164,-0.05156401717738275,0.0,1500,4e-06,0.006
500.0,3,0.15978774315724462,-161.12872665951795,-0.15119877549254007,-0.05168223246766765,0.0,1500,4e-06,0.006
500.0,4,0.16122692713897155,-161.52548695893285,-0.15291805044079723,-0.051090037033271335,0.0,1500,4e-06,0.006
500.0,5,0.16023137355859315,-160.96382599297587,-0.1514687744613747,-0.05226187363310491,0.0,1500,4e-06,0.006
500.0,6,0.1593022260308753,-160.77661535228606,-0.15041986338406788,-0.052450585486822174,0.0,1500,4e-06,0.006
500.0,7,0.1590383098571131,-160.60528381548363,-0.1500134083453737,-0.05281251100649619,0.0,1500,4e-06,0.006
500.0,8,0.15966251315279806,-160.8036606737701,-0.1507848590843971,-0.052498041650769406,0.0,1500,4e-06,0.006
500.0,9,0.15935466560990416,-160.66639755833558,-0.1503681702132277,-0.05275720650650629,0.0,1500,4e-06,0.006
500.0,10,0.159386460637693,-160.93980883302197,-0.15064826265671658,-0.052049445656258346,0.0,1500,4e-06,0.006
