stage,Frequency [Hz],Vrms_mean [V],Vrms_std [V],Irms_mean [A],Irms_std [A],Z_mean [Ohm],Z_std [Ohm]
coarse,100.0,0.7125939636789699,0.0,0.00251342589,5.304898920224733e-06,283.5156404360155,0.5983951310439455
coarse,316.22776601683796,0.49117454672786204,0.0030333101749999694,0.005151549355,8.995720546373269e-06,95.34464552931213,0.42232273017313876
coarse,1000.0,0.10049861237825158,0.0006932914250000057,0.006598100765,1.986496293591323e-06,15.23143039906048,0.10048865098927805
coarse,3162.2776601683795,0.283125543130923,0.0,0.0060868903500000005,5.853472361068648e-06,46.5140092501794,0.04473030593502053
coarse,10000.0,0.5955495522802824,0.0,0.003693126725,1.1305725263425138e-05,161.2596553629873,0.4936622800585245
fine,700.0,0.21866151685117163,0.0013867020499999934,0.006388280545,7.031278913288572e-06,34.22868029941042,0.25474357873851816
fine,850.0,0.1516690906040208,0.0009533017749999941,0.006523079705,5.321692706278274e-06,23.251215192873268,0.16511182539720565
fine,1000.0,0.10167340308469347,0.0006067007750000106,0.006599560145,3.5854485736164307e-06,15.406065108843617,0.08356058717765638
fine,1150.0,0.05943954239764489,0.0,0.006638357649999999,2.2598001355873717e-06,8.953953519159018,0.003048064964779487
fine,1300.0,0.03125411930418133,0.0005200021000000012,0.00664401939,8.805402756217482e-06,4.704050415095782,0.07203185502887778
