stage,Frequency [Hz],Vrms_mean [V],Vrms_std [V],Irms_mean [A],Irms_std [A],Z_mean [Ohm],Z_std [Ohm]
coarse,700.0000000000001,0.00961665169380696,0.0023999996499999995,0.00257106929,1.1585279929367047e-05,3.7382664433554935,0.916618932040982
coarse,822.8541080088764,0.03946815814107899,0.007280401874999997,0.00259591744,4.964936121965791e-06,15.206644078785708,2.83364246417661
coarse,967.2698329529765,0.006222539639086279,0.0,0.0026717296600000003,6.89973583878414e-06,2.3290381816289707,0.006014735866533195
coarse,1137.0313651405945,0.005656854037360345,0.0048,0.002686549445,4.398423382082484e-06,2.1041609116435884,1.783233514783333
coarse,1336.5870424869697,0.015273506208464384,0.004800000225,0.00269094168,1.3681102002376913e-07,5.675941757077312,1.7840508369476746
coarse,1571.1659123169106,0.08659229658320364,0.014820002024999996,0.0026802358900000003,6.265560051008988e-06,32.301340035180274,5.453854302085892
coarse,1846.914750447834,0.008456996961569752,0.00052000025,0.0026746043000000002,1.3729340827009836e-05,3.162502595298218,0.2106552083226489
coarse,2171.059127925984,0.00808930127625372,0.0005200002249999999,0.00264924788,1.7293427704768258e-06,3.053497855152261,0.19827543258823857
coarse,2552.0927459200916,0.020590949521185273,0.011439999574999997,0.00261135423,7.375038874962034e-06,7.891379118935555,4.403155523936409
coarse,3000.0000000000014,0.011767387926951336,0.00277360015,0.002558361735,3.87883424819828e-07,4.599497265349227,1.083433997361701
fine,795.9219555984162,0.007636752759517636,0.0016000000750000004,0.002665591075,8.975794277279935e-06,2.8639434930985113,0.5905984313007178
fine,871.7240466077891,0.008061017446947998,0.0005999999000000007,0.0026658477749999998,7.20118253067181e-06,3.0241251272826846,0.2332380651543971
fine,947.5261376171621,0.0050911685593780995,0.0004000000249999995,0.0026792375150000002,4.54214990642653e-06,1.9001065727624509,0.14607493882763364
fine,1023.3282286265351,0.007495331668445369,0.0026000002499999997,0.00267179543,2.5439580666748094e-06,2.8048918649686367,0.9704578028692724
fine,1099.130319635908,0.021328390299401243,0.0003466997250000014,0.0026921484349999997,2.851005044269486e-06,7.922378425757625,0.12039194419291205
fine,1174.932410645281,0.006081118212138291,0.0013999999499999995,0.00269093958,2.056266519689431e-07,2.259869290711352,0.5204370435385758
fine,1250.734501654654,0.008909545124752448,0.0013999999500000004,0.00269352412,1.0053007818807263e-05,3.3087581186284063,0.5321143815252389
fine,1326.536592664027,0.0113137077211673,0.0003999993000000004,0.0026902387599999997,1.0670099906747906e-06,4.205436876026743,0.14701745537192656
fine,1402.3386836733998,0.0029698483749174822,0.00139999995,0.00270264072,3.7125934439401385e-07,1.098833530697886,0.5178609155950981
fine,1478.1407746827729,0.015810907503587514,0.0015599997749999987,0.002686251885,8.095814030228981e-06,5.88501347407413,0.5629985068762468
