stage,Frequency [Hz],Vrms_mean [V],Vrms_std [V],Irms_mean [A],Irms_std [A],Z_mean [Ohm],Z_std [Ohm]
coarse,100.0,0.7125939636789699,0.0,0.00251876656,6.462278727767034e-06,282.91534712188286,0.7257435857125385
coarse,117.21022975334806,0.698616129972702,0.0,0.0028133643780000003,9.607813587451691e-06,248.32284703467334,0.8485460523643213
coarse,137.38237958832624,0.6846544806325077,0.0,0.0031453340320000004,2.1068103268496137e-06,217.6731371614373,0.14567849822491602
coarse,161.02620275609394,0.6566988131846163,0.0,0.003509046698,5.6586453745503766e-06,187.14489638106042,0.3020841604979502
coarse,188.73918221350976,0.6287593301381542,0.0,0.0038955179039999997,2.265127075183511e-06,161.40588126349476,0.09388806154156043
coarse,221.22162910704503,0.5913332489731677,0.002356985202116367,0.004293802193999999,5.526870610913723e-06,137.71853177898242,0.7087661949232971
coarse,259.2943797404667,0.5544848240842456,0.0,0.004692911076000001,3.83716181724589e-06,118.15376676137461,0.09662786366321036
coarse,303.9195382313198,0.5079153803295936,0.0,0.005061643106000001,9.79745041417575e-06,100.3462492417844,0.19397388871568272
coarse,356.2247890262444,0.45704552501631185,0.0,0.00542752454,4.753093430488348e-06,84.208887840912,0.07369578939458069
coarse,417.53189365604004,0.399508156294251,0.0019467856368097743,0.005743764246,5.81717227477672e-06,69.55503417096314,0.3108712973049476
coarse,489.3900918477494,0.34809046360999973,0.0016783211981443705,0.00601528501,6.957043453694988e-06,57.86751917731499,0.23048949387425977
coarse,573.6152510448682,0.2882732959835996,0.0,0.00623145811,1.180973723014342e-06,46.26097121678024,0.008765735125959203
coarse,672.3357536499335,0.23335881834297875,3.1031676915590914e-17,0.0064012945639999996,3.606711439626069e-06,36.45495068061564,0.020544942193109473
coarse,788.0462815669912,0.17973488988712,0.0007125918221488464,0.006531244982000001,2.144329963956132e-06,27.51924209586203,0.10978855539584946
coarse,923.6708571873866,0.12486939530807004,0.0004933161371784561,0.006613948104,6.281946522394871e-06,18.879682345494604,0.06418384697114152
coarse,1082.636733874054,0.07292067025361595,0.0,0.006669147034,4.759359445348702e-06,10.934036930857554,0.007803955204395191
coarse,1268.9610031679222,0.026253461059797818,0.0002013959473292879,0.006691787766,6.739550749766476e-06,3.9232267588586693,0.02831222373141323
coarse,1487.3521072935118,0.037431403246601394,0.00016443791655294405,0.006675731761999999,4.989914843368488e-06,5.60709402032022,0.02643474149717256
