stage,Frequency [Hz],repeat,Vrms [V],Irms [A],Z [Ohm]
coarse,700.0000000000001,1,0.4293511258873157,0.0121042402,35.471133982231756
coarse,700.0000000000001,2,0.4293511258873157,0.0121016959,35.478591549083276
coarse,700.0000000000001,3,0.4293511258873157,0.0121049713,35.468991643732004
coarse,822.8541080088764,1,0.32417946061886954,0.0123199746,26.313322157244507
coarse,822.8541080088764,2,0.32417946061886954,0.0123107648,26.333007403314987
coarse,822.8541080088764,3,0.32417946061886954,0.0123207131,26.31174494428164
coarse,967.2698329529765,1,0.23335881834297878,0.0124588758,18.73032704467435
coarse,967.2698329529765,2,0.23335881834297878,0.0124602374,18.728280276825128
coarse,967.2698329529765,3,0.23335881834297878,0.012462168,18.725378950354287
coarse,1137.0313651405945,1,0.14829868089234918,0.0125289895,11.836443864235752
coarse,1137.0313651405945,2,0.14829868089234918,0.0125386911,11.8272856161477
coarse,1137.0313651405945,3,0.14829868089234918,0.0125269778,11.83834467179699
coarse,1336.5870424869697,1,0.1103086601278431,0.0125405397,8.796165298040808
coarse,1336.5870424869697,2,0.11030864959195207,0.0125499051,8.789600296814362
coarse,1336.5870424869697,3,0.10920557174606979,0.0125396261,8.708837956984203
coarse,1571.1659123169106,1,0.14695050855775452,0.0125011783,11.754932617652091
coarse,1571.1659123169106,2,0.14695050855775452,0.0125018014,11.75434674220265
coarse,1571.1659123169106,3,0.14695050855775452,0.0125022093,11.753963242141092
coarse,1846.914750447834,1,0.22710812461100346,0.0124000255,18.315133675410866
coarse,1846.914750447834,2,0.22710812461100346,0.0123971095,18.319441690097477
coarse,1846.914750447834,3,0.22710812461100346,0.0123994434,18.315993491369415
coarse,2171.059127925984,1,0.3213604897391742,0.0122438762,26.24663011041995
coarse,2171.059127925984,2,0.3213604897391742,0.0122319022,26.272323346337267
coarse,2171.059127925984,3,0.3213604897391742,0.0122350035,26.265663899415657
coarse,2552.0927459200916,1,0.42175200695936077,0.012003012,35.137181147478714
coarse,2552.0927459200916,2,0.41795242640592356,0.012001656,34.82456307745561
coarse,2552.0927459200916,3,0.42175200695936077,0.0119918855,35.16978268007652
coarse,3000.0000000000014,1,0.5215202565745324,0.0116722956,44.68017898506035
coarse,3000.0000000000014,2,0.5215202565745324,0.0116702365,44.688062369133
coarse,3000.0000000000014,3,0.5215202565745324,0.011660127,44.72680757032341
fine,935.6109297408788,1,0.24918004987073664,0.0124283787,20.04928043194698
fine,935.6109297408788,2,0.24918004987073664,0.0124412403,20.02855373436816
fine,935.6109297408788,3,0.25150883180836253,0.0124310432,20.232319022780207
fine,977.8189416088883,1,0.2250245740933182,0.0124616008,18.057437218926015
fine,977.8189416088883,2,0.2250245740933182,0.0124727394,18.041311285098942
fine,977.8189416088883,3,0.2250245740933182,0.012461598,18.057441276256718
fine,1020.0269534768979,1,0.20223254885922812,0.0124845216,16.198662258650593
fine,1020.0269534768979,2,0.20223254885922812,0.0124852639,16.197699181931437
fine,1020.0269534768979,3,0.20407103653122943,0.0124762245,16.356794199337262
fine,1062.2349653449076,1,0.1818817323236367,0.0124963047,14.554841346309097
fine,1062.2349653449076,2,0.18016584982571468,0.0124969231,14.416816714325039
fine,1062.2349653449076,3,0.1818817323236367,0.0124979913,14.552877175041456
fine,1104.442977212917,1,0.16325680816027252,0.0125223985,13.037183584300765
fine,1104.442977212917,2,0.1617860306515986,0.0125226909,12.919430172280194
fine,1104.442977212917,3,0.16325680816027252,0.0125231436,13.036407900031788
fine,1146.6509890809266,1,0.1442541639239205,0.0125340559,11.50897722770811
fine,1146.6509890809266,2,0.14560233625851515,0.0125431856,11.608082739245695
fine,1146.6509890809266,3,0.1442541639239205,0.0125241019,11.51812441927836
fine,1188.8590009489362,1,0.13237548562740437,0.0125328554,10.562276624320134
fine,1188.8590009489362,2,0.13237548562740437,0.0125417523,10.554783929786618
fine,1188.8590009489362,3,0.13114978150030543,0.012530636,10.466330799195303
fine,1231.0670128169459,1,0.12133952297986011,0.01253861,9.677270684697914
fine,1231.0670128169459,2,0.12023644513397784,0.0125458995,9.583724557492099
fine,1231.0670128169459,3,0.12023644513397784,0.012546516,9.583253640610495
fine,1273.2750246849555,1,0.11361791477262732,0.0125477882,9.054816112741474
fine,1273.2750246849555,2,0.11361791477262732,0.012549595,9.053512465751071
fine,1273.2750246849555,3,0.11361791477262732,0.012549676,9.05345403121382
fine,1315.483036552965,1,0.11141173800908072,0.0125405155,8.884143399773375
fine,1315.483036552965,2,0.11141173800908072,0.0125405071,8.884149350633573
fine,1315.483036552965,3,0.1103086601278431,0.0125486925,8.790450489391073
fine,1357.6910484209745,1,0.10920557174606979,0.0125343027,8.712536657190336
fine,1357.6910484209745,2,0.10920557174606979,0.0125459004,8.704482601031152
fine,1357.6910484209745,3,0.11030864959195207,0.0125375576,8.798256655024424
fine,1399.8990602889842,1,0.11361791477262732,0.0125448275,9.05695313647217
fine,1399.8990602889842,2,0.11251482639085401,0.0125325462,8.977810621663938
fine,1399.8990602889842,3,0.11251482639085401,0.0125431074,8.970251374141467
fine,1442.1070721569936,1,0.11913334621631348,0.0125269229,9.510184357909115
fine,1442.1070721569936,2,0.11913334621631348,0.0125265922,9.51043542523189
fine,1442.1070721569936,3,0.11803026837043123,0.0125269247,9.42212643542363
fine,1484.3150840250032,1,0.12575186604177296,0.0125408648,10.02736797240434
fine,1484.3150840250032,2,0.12575186604177296,0.0125232646,10.041460438500433
fine,1484.3150840250032,3,0.12575186604177296,0.0125223631,10.042183335330131
fine,1526.5230958930129,1,0.13616515109420047,0.0125211375,10.874822762245081
fine,1526.5230958930129,2,0.13616515109420047,0.0125107048,10.8838912971714
fine,1526.5230958930129,3,0.13616515109420047,0.0125219179,10.874145013696381
fine,1568.7311077610225,1,0.14560233625851515,0.0125046168,11.643886301139204
fine,1568.7311077610225,2,0.14695050855775452,0.0125163393,11.740693907023958
fine,1568.7311077610225,3,0.14695050855775452,0.0125142001,11.742700882476262
fine,1610.9391196290321,1,0.16031525314292464,0.0125000291,12.825190394390733
fine,1610.9391196290321,2,0.16031525314292464,0.0124995718,12.825659607229477
fine,1610.9391196290321,3,0.15884447566960605,0.0124911536,12.716557714061418
fine,1653.1471314970418,1,0.17049319025437956,0.0124743078,13.667547168779942
fine,1653.1471314970418,2,0.17049319025437956,0.0124753015,13.66645850237604
fine,1653.1471314970418,3,0.17049319025437956,0.0124674803,13.67503185502363
fine,1695.3551433650512,1,0.18324035707531558,0.0124632735,14.702426058074998
fine,1695.3551433650512,2,0.18324035707531558,0.0124520799,14.715642571111
fine,1695.3551433650512,3,0.18324035707531558,0.0124725588,14.691480714872684
fine,1737.5631552330608,1,0.19487864027943166,0.0124551794,15.64639368256965
fine,1737.5631552330608,2,0.19487864027943166,0.0124333529,15.673860610795634
fine,1737.5631552330608,3,0.19487864027943166,0.012453205,15.648874348365073
