Frequency [Hz],repeat,VL_rms_fft [V],VL_phase [deg],VL_real [V],VL_imag [V],VL_rms_scope [V],M,dt [s],Mdt [s]
1000.0,1,0.39200024731233546,-117.6694315299332,-0.1820329996061213,-0.3471716879979271,0.0,1000,9.999999999999159e-07,0.0009999999999999159
1000.0,2,0.39710602344064655,-118.15343280592967,-0.1873682540064973,-0.350123308626261,0.0,1000,9.999999999999159e-07,0.0009999999999999159
1000.0,3,0.3950801417663857,-118.01294318790073,-0.18555768912168516,-0.3487931513461345,0.0,1000,9.999999999999159e-07,0.0009999999999999159
1000.0,4,0.3913673811375696,-117.21399124123275,-0.17897821416938847,-0.3480448618658465,0.0,1000,9.999999999999159e-07,0.0009999999999999159
1000.0,5,0.38984897714861744,-116.72095217455285,-0.17529390085415478,-0.3482158429870143,0.0,1000,9.999999999999159e-07,0.0009999999999999159
1000.0,6,0.3894381638818761,-116.52010969369378,-0.1738887705971841,-0.34846058449685074,0.0,1000,9.999999999999159e-07,0.0009999999999999159
1000.0,7,0.38977266781843894,-116.47273910140666,-0.17374972593965404,-0.3489036619386478,0.0,1000,9.999999999999159e-07,0.0009999999999999159
1000.0,8,0.389022187039842,-116.61083559036855,-0.17425399996928995,-0.34781288863980375,0.0,1000,9.999999999999159e-07,0.0009999999999999159
1000.0,9,0.390378417901615,-116.83366071621667,-0.1762175394100869,-0.34834277366930183,0.0,1000,9.999999999999159e-07,0.0009999999999999159
1000.0,10,0.392567164059076,-117.34728372321923,-0.1803385776940346,-0.34869324010178077,0.0,1000,9.999999999999159e-07,0.0009999999999999159
