Frequency [Hz],repeat,VL_rms [V],VR_rms [V],Irms [A],XL [Ohm],L [H]
5000.0,1,0.0,0.0282842706110658,0.0005050762609118892,0.0,0.0
5000.0,2,0.0,0.0282842706110658,0.0005050762609118892,0.0,0.0
5000.0,3,0.0,0.0282842706110658,0.0005050762609118892,0.0,0.0
5000.0,4,0.0,0.0282842706110658,0.0005050762609118892,0.0,0.0
5000.0,5,0.0,0.0282842706110658,0.0005050762609118892,0.0,0.0
5000.0,6,0.0,0.0282842706110658,0.0005050762609118892,0.0,0.0
5000.0,7,0.0,0.0282842706110658,0.0005050762609118892,0.0,0.0
5000.0,8,0.0,0.0282842706110658,0.0005050762609118892,0.0,0.0
5000.0,9,0.0,0.0282842706110658,0.0005050762609118892,0.0,0.0
5000.0,10,0.0,0.0282842706110658,0.0005050762609118892,0.0,0.0
