Frequency [Hz],repeat,Vrms [V],Irms [A],XL [Ohm]
200,1,0.0960963740313409,0.00601411564,15.978471280499173
200,2,0.0960963740313409,0.00602441048,15.951166400490841
200,3,0.0960963740313409,0.00602800073,15.941665957850821
200,4,0.0960963740313409,0.00603203336,15.931008384101657
200,5,0.09695437849564816,0.00602836115,16.08304082704935
200,6,0.0960963740313409,0.00601726072,15.970119711106834
200,7,0.0960963740313409,0.0060327556,15.929101127740182
200,8,0.0960963740313409,0.00602749782,15.942996065876786
200,9,0.09523838010292467,0.00602400023,15.809823450641646
200,10,0.0960963740313409,0.00603207713,15.930892785407886
500,1,0.10687169001291665,0.0060190931,17.75544724718025
500,2,0.10687169001291665,0.00602175854,17.747588068005903
500,3,0.10687169001291665,0.0060354867,17.7072198689323
500,4,0.10589121734111365,0.00603396213,17.549201512988887
500,5,0.10687169001291665,0.00602817396,17.7287003862305
500,6,0.10589121734111365,0.00603977684,17.532306266652334
500,7,0.10589121734111365,0.00604113005,17.52837903913584
500,8,0.10589121734111365,0.00604393566,17.520242321890244
500,9,0.10491074466931063,0.00604731357,17.348322268215146
500,10,0.10491074466931063,0.00605014153,17.340213307259713
1000,1,0.23164818314305857,0.00465330807,49.78139844995446
1000,2,0.17465537063972586,0.00564521598,30.938651640344478
1000,3,0.15443212210715748,0.0058330833,26.475212878780162
1000,4,0.1507551677995816,0.00585667929,25.740724450626626
1000,5,0.14156278208367484,0.00607125787,23.31687849781199
1000,6,0.13788581727556326,0.00602332223,22.89198751293823
1000,7,0.13788581727556326,0.00603098283,22.86290993727854
1000,8,0.13972430494756458,0.00602531526,23.18954260786092
1000,9,0.13788581727556326,0.00604922697,22.793956642622597
1000,10,0.13788581727556326,0.00606856914,22.721306142285012
2000,1,0.22710812461100346,0.0059114676,38.41823045955685
2000,2,0.22710812461100346,0.0059175971,38.37843651285477
2000,3,0.22710812461100346,0.00594441546,38.20529135946421
2000,4,0.22710812461100346,0.00594944321,38.17300486695518
2000,5,0.22710812461100346,0.00595048303,38.166334306982044
2000,6,0.22710812461100346,0.00596244168,38.0897854938857
2000,7,0.22710812461100346,0.00596204074,38.09234698570736
2000,8,0.22710812461100346,0.00597070251,38.03708595942146
2000,9,0.22710812461100346,0.00596002256,38.10524579809702
2000,10,0.22710812461100346,0.00596128125,38.09720009620474
5000,1,0.4431903807712514,0.00496210949,89.31491368024034
5000,2,0.4431903807712514,0.00497895479,89.01273449226306
5000,3,0.4431903807712514,0.00498209661,88.95660109875938
5000,4,0.4431903807712514,0.00497517642,89.08033471730666
5000,5,0.4431903807712514,0.00497376267,89.10565504953041
5000,6,0.4431903807712514,0.00497676246,89.05194578470024
5000,7,0.4431903807712514,0.00497606909,89.06435436394862
5000,8,0.4431903807712514,0.00499836821,88.667013343391
5000,9,0.4431903807712514,0.0049909479,88.79883934898447
5000,10,0.4431903807712514,0.00500247302,88.59425708032131
