Frequency [Hz],repeat,Vrms [V],Irms [A],Z [Ohm]
700.0000000000001,1,0.7551900976029831,0.00113767048,663.8038965403964
700.0000000000001,2,0.7551900976029831,0.00114625494,658.8325783817195
700.0000000000001,3,0.7551900976029831,0.00113865209,663.2316440072428
700.0000000000001,4,0.7551900976029831,0.00114153884,661.5544483821357
700.0000000000001,5,0.7551900976029831,0.00114399497,660.1341067111362
700.0000000000001,6,0.7551900976029831,0.00114712049,658.3354618685114
700.0000000000001,7,0.7551900976029831,0.00114568241,659.1618157103268
700.0000000000001,8,0.7551900976029831,0.00116008392,650.9788512567118
700.0000000000001,9,0.7551900976029831,0.00115311681,654.9120531882481
700.0000000000001,10,0.7551900976029831,0.00113125728,667.5670609633407
822.8541080088764,1,0.7551900976029831,0.00115087919,656.1853791126271
822.8541080088764,2,0.7551900976029831,0.00114297832,660.7212791253845
822.8541080088764,3,0.7551900976029831,0.00114404364,660.1060232308822
822.8541080088764,4,0.7551900976029831,0.00114293164,660.748264526987
822.8541080088764,5,0.7551900976029831,0.00114662969,658.6172538432901
822.8541080088764,6,0.7551900976029831,0.00114006363,662.4104810737476
822.8541080088764,7,0.7551900976029831,0.00114908838,657.20801876265
822.8541080088764,8,0.7551900976029831,0.00113368686,666.1364123096416
822.8541080088764,9,0.7551900976029831,0.00113685406,664.2806004519024
822.8541080088764,10,0.7551900976029831,0.00115048501,656.4102018182601
967.2698329529765,1,0.7551900976029831,0.00115079049,656.2359562103985
967.2698329529765,2,0.7551900976029831,0.00113529083,665.1952765292599
967.2698329529765,3,0.7551900976029831,0.00114930817,657.0823364137254
967.2698329529765,4,0.7551900976029831,0.00114654144,658.667948018506
967.2698329529765,5,0.7551900976029831,0.0011515246,655.8175983413495
967.2698329529765,6,0.7551900976029831,0.00113270886,666.7115657619055
967.2698329529765,7,0.7551900976029831,0.00115068501,656.296111481441
967.2698329529765,8,0.7551900976029831,0.00114479277,659.6740627589595
967.2698329529765,9,0.7551900976029831,0.00114694156,658.4381662854584
967.2698329529765,10,0.7551900976029831,0.0011559031,653.3333958555721
1137.0313651405945,1,0.7551900976029831,0.00114592933,659.0197823132628
1137.0313651405945,2,0.7551900976029831,0.00114292139,660.7541902798608
1137.0313651405945,3,0.7551900976029831,0.00115119002,656.0082041042912
1137.0313651405945,4,0.7551900976029831,0.00113460619,665.5966662785289
1137.0313651405945,5,0.7551900976029831,0.00115985214,651.1089401473046
1137.0313651405945,6,0.7551900976029831,0.00113911368,662.9628902384729
1137.0313651405945,7,0.7551900976029831,0.00114502385,659.5409323596037
1137.0313651405945,8,0.7551900976029831,0.00114539941,659.324678369603
1137.0313651405945,9,0.7551900976029831,0.00115258829,655.2123634736763
1137.0313651405945,10,0.7551900976029831,0.00114461477,659.7766492240731
1336.5870424869697,1,0.7509474272527342,0.00115640042,649.3835649529894
1336.5870424869697,2,0.7551900976029831,0.00114181498,661.3944560466206
1336.5870424869697,3,0.7551900976029831,0.00113823754,663.473195237422
1336.5870424869697,4,0.7551900976029831,0.00114757568,658.0743307517488
1336.5870424869697,5,0.7551900976029831,0.00114913471,657.1815219148529
1336.5870424869697,6,0.7551900976029831,0.00114093092,661.9069431504083
1336.5870424869697,7,0.7551900976029831,0.00112148561,673.383671506033
1336.5870424869697,8,0.7551900976029831,0.00116381166,648.8937373277246
1336.5870424869697,9,0.7551900976029831,0.00115310063,654.9212427392248
1336.5870424869697,10,0.7551900976029831,0.00114625064,658.8350499005899
1571.1659123169106,1,0.7594326836661034,0.00114543317,663.0091598151496
1571.1659123169106,2,0.7594326836661034,0.0011601774,654.583241895682
1571.1659123169106,3,0.7594326836661034,0.00115344371,658.4046339514074
1571.1659123169106,4,0.7594326836661034,0.00113976595,666.3058180200096
1571.1659123169106,5,0.7594326836661034,0.00114743714,661.8512310540196
1571.1659123169106,6,0.7594326836661034,0.00114662538,662.3197924208719
1571.1659123169106,7,0.7594326836661034,0.0011480056,661.5235009882385
1571.1659123169106,8,0.7594326836661034,0.00115631148,656.7717235377646
1571.1659123169106,9,0.7594326836661034,0.00115377258,658.2169630570553
1571.1659123169106,10,0.7594326836661034,0.00113536557,668.8882451016225
1846.914750447834,1,0.7594326836661034,0.00114834867,661.3258703613977
1846.914750447834,2,0.7594326836661034,0.00115251006,658.9380084596428
1846.914750447834,3,0.7594326836661034,0.00115122332,659.6745136001097
1846.914750447834,4,0.7594326836661034,0.00113952311,666.447812248497
1846.914750447834,5,0.7594326836661034,0.00115425594,657.9413259645893
1846.914750447834,6,0.7551900976029831,0.00114781572,657.9367092158164
1846.914750447834,7,0.7594326836661034,0.00113915757,666.6616661873243
1846.914750447834,8,0.7594326836661034,0.00115632021,656.766765034837
1846.914750447834,9,0.7594326836661034,0.00115435559,657.8845290350293
1846.914750447834,10,0.7594326836661034,0.00114788243,661.5944837365473
2171.059127925984,1,0.7594326836661034,0.00113738573,667.7002037524275
2171.059127925984,2,0.7551900976029831,0.0011442767,659.9715764578472
2171.059127925984,3,0.7551900976029831,0.00113775081,663.757029189004
2171.059127925984,4,0.7594326836661034,0.00114686345,662.1823057192235
2171.059127925984,5,0.7551900976029831,0.00115156674,655.7935995989109
2171.059127925984,6,0.7551900976029831,0.00114946289,656.9938918193201
2171.059127925984,7,0.7551900976029831,0.00114563736,659.1877359891467
2171.059127925984,8,0.7551900976029831,0.00113651808,664.4769765589501
2171.059127925984,9,0.7594326836661034,0.00115877227,655.3769910856629
2171.059127925984,10,0.7551900976029831,0.00113196764,667.1481329651641
2552.0927459200916,1,0.7594326836661034,0.00116241141,653.3252144058904
2552.0927459200916,2,0.7551900976029831,0.00114273187,660.8637751592446
2552.0927459200916,3,0.7594326836661034,0.00114057923,665.8307145099454
2552.0927459200916,4,0.7594326836661034,0.00114860176,661.1801497379765
2552.0927459200916,5,0.7551900976029831,0.00113549002,665.0785866026221
2552.0927459200916,6,0.7551900976029831,0.00112332811,672.2791772770496
2552.0927459200916,7,0.7594326836661034,0.00116538187,651.6599435909393
2552.0927459200916,8,0.7551900976029831,0.00113343296,666.28563334084
2552.0927459200916,9,0.7594326836661034,0.00114625809,662.5320163856845
2552.0927459200916,10,0.7551900976029831,0.0011512615,655.9674735956888
3000.0000000000014,1,0.7551900976029831,0.00115550088,653.5608156377891
3000.0000000000014,2,0.7551900976029831,0.00114945963,656.995755129724
3000.0000000000014,3,0.7551900976029831,0.0011420995,661.2296893598001
3000.0000000000014,4,0.7551900976029831,0.00114014174,662.3650999769407
3000.0000000000014,5,0.7551900976029831,0.00114485179,659.6400548956499
3000.0000000000014,6,0.7594326836661034,0.00113654684,668.1930360794488
3000.0000000000014,7,0.7551900976029831,0.00114913459,657.18159054196
3000.0000000000014,8,0.7551900976029831,0.00115453883,654.1054124641117
3000.0000000000014,9,0.7551900976029831,0.00114951353,656.9649489927996
3000.0000000000014,10,0.7551900976029831,0.001142964,660.729557189013
