Frequency [Hz],Vrms_mean [V],Vrms_std [V],Irms_mean [A],Irms_std [A],Z_mean [Ohm],Z_std [Ohm]
700.0000000000001,0.7551900976029831,0.0,0.0011445372230000001,8.12179884919048e-06,659.851191700977,4.672506578365597
822.8541080088764,0.7551900976029831,0.0,0.0011437640419999999,5.742010681331799e-06,660.2823914255373,3.3204514429623795
967.2698329529765,0.7551900976029831,0.0,0.001146448683,7.275524827825938e-06,658.7452417656576,4.202478423596493
1137.0313651405945,0.7551900976029831,0.0,0.001146123907,7.086965409355484e-06,658.9305296788677,4.066350879401853
1336.5870424869697,0.7547658305679582,0.001341650166805064,0.0011458742790000003,1.1510757858325849e-05,658.7447713527615,7.117048130963763
1571.1659123169106,0.7594326836661034,0.0,0.0011486337979999999,7.546396269325146e-06,661.1874309841821,4.350432426244015
1846.914750447834,0.7590084250597914,0.0013416235128747148,0.0011491392619999998,5.932238128551511e-06,660.5171683843791,3.5313808948814454
2171.059127925984,0.7564628734219192,0.0020493637672936472,0.0011440201670000001,8.16380377820159e-06,661.2588443135658,4.4997084006573775
2552.0927459200916,0.7573113906345432,0.0022360391881245246,0.001144947682,1.2870754403225594e-05,661.5002684605881,6.381302034306691
3000.0000000000014,0.7556143562092952,0.0013416235128747148,0.0011464751329999998,6.186826854962909e-06,659.0965960267238,4.334894744350776
