Frequency [Hz],repeat,VL_rms_fft [V],VL_phase [deg],VL_real [V],VL_imag [V],VL_rms_scope [V],M,dt [s],Mdt [s]
2000.0,1,0.8712923628581267,-103.90659149885384,-0.20940615849396021,-0.845753771708823,0.5798275976607196,2000,1e-06,0.002
2000.0,2,0.8704499670137302,-103.9203804354749,-0.2094070355510103,-0.8448856955446352,0.5798275976607196,2000,1e-06,0.002
2000.0,3,0.8705769316666454,-103.93707493803106,-0.20968378462795986,-0.8449478708264826,0.5769991648084084,2000,1e-06,0.002
2000.0,4,0.8705890031541119,-103.98378385170886,-0.21037545398169463,-0.8447883644883292,0.5741707319560974,2000,1e-06,0.002
2000.0,5,0.870334981664556,-104.11343989585217,-0.2122246650608078,-0.8440637842301203,0.5769991648084084,2000,1e-06,0.002
2000.0,6,0.8701994593844501,-103.9391401510686,-0.2096233107253257,-0.844573955739545,0.5798275976607196,2000,1e-06,0.002
2000.0,7,0.8710640288208586,-103.87218000550591,-0.208843421623612,-0.845657712996321,0.5713422991037863,2000,1e-06,0.002
2000.0,8,0.8711963144844724,-103.93141129097214,-0.20974938382789146,-0.8455697572377737,0.5769991226648443,2000,1e-06,0.002
2000.0,9,0.8708837368807529,-103.92017848094225,-0.2095084094922006,-0.8453074644858124,0.5769991226648443,2000,1e-06,0.002
2000.0,10,0.8710860666582758,-103.91732433873818,-0.2095149656055772,-0.8455142900705345,0.5769991226648443,2000,1e-06,0.002
