stage,Frequency [Hz],Vrms_mean [V],Vrms_std [V],Irms_mean [A],Irms_std [A],Z_mean [Ohm],Z_std [Ohm]
coarse,100.0,0.7125939636789699,0.0,0.0025172776066666666,1.2472859822359784e-05,283.0858287609682,1.401507298620773
coarse,166.81005372000593,0.6528584766580124,0.0033258289911202144,0.0035943403666666668,9.547646244610998e-06,181.63532655469632,0.8538065170570875
coarse,278.2559402207126,0.5353646533975595,0.0,0.0048762670066666665,2.7748196256035106e-06,109.78987989290617,0.06248520733037472
coarse,464.15888336127773,0.3632778065272597,0.0,0.005940945820000001,6.620167191899044e-06,61.14819392338628,0.06810155368943335
coarse,774.263682681127,0.18642714347724867,0.0,0.006524015993333333,1.2491009620256631e-06,28.57551977545334,0.005470680944380168
coarse,1291.549665014884,0.020836079995740293,0.0004245784057941486,0.006695097309999999,5.478348030903225e-06,3.112114113097961,0.06140606790039981
coarse,2154.4346900318824,0.15234317675364048,0.0,0.006532581523333333,2.9526136754125326e-06,23.320519913235994,0.010539522741642328
coarse,3593.813663804626,0.3269984104267828,0.0,0.005955806313333333,2.125248060093951e-06,54.9041424427978,0.01959454933515207
coarse,5994.8425031894085,0.4861698402747645,0.0024766873867808218,0.004931518343333333,1.342634114356199e-06,98.58412525051376,0.475756051243089
coarse,10000.0,0.600819847091692,0.0,0.00371439111,1.1331191174363863e-06,161.75460972514955,0.04934113661334991
fine,904.0847655104188,0.13319262168856677,0.0007076605873149972,0.00661758116,1.004351251256039e-06,20.12709644961433,0.10993774621486595
fine,990.1880765114112,0.10294978878981358,0.0,0.006658087953333333,7.926120097565671e-06,15.462379997326293,0.01839492344082234
fine,1076.2913875124034,0.0764806722815641,0.0,0.006681619833333333,6.242226034855701e-06,11.446433451185252,0.010690131004786566
fine,1162.3946985133957,0.05106489685957907,0.00035379076501677073,0.006689360986666667,6.471195650808029e-06,7.633739169571538,0.05036000415573221
fine,1248.498009514388,0.029783336562917206,0.0,0.006701060883333334,4.537617720460161e-06,4.444571715302977,0.003008738337206257
fine,1334.6013205153804,0.014330696783866148,0.00016329903041174105,0.006700167896666667,8.761048701113702e-07,2.138854497722066,0.024124725848195153
fine,1420.7046315163725,0.021448906143826236,0.00021228921310328093,0.006692835126666667,1.5243103473485933e-06,3.2047612049239196,0.03243615325785894
fine,1506.8079425173648,0.038485465725561045,0.000424576895275474,0.006685479386666666,1.3467108443557404e-05,5.756518942022559,0.05401568223093149
fine,1592.9112535183572,0.0555586079008846,0.00035378770315459503,0.006674535726666667,3.937759184235836e-06,8.323987638026843,0.05767089875161523
fine,1679.0145645193495,0.07304884408215885,0.00042457993672524047,0.00665603159,1.0239868730306104e-05,10.974794384750808,0.049628940896883085
