stage,Frequency [Hz],repeat,Vrms [V],Irms [A],Z [Ohm]
coarse,100.0,1,0.7125939636789699,0.00245924643,289.76110526628673
coarse,100.0,2,0.7125939636789699,0.0024549209,290.27165953859037
coarse,100.0,3,0.7125939636789699,0.00245221122,290.59240813642873
coarse,100.0,4,0.7125939636789699,0.00245207455,290.6086047338854
coarse,100.0,5,0.7125939636789699,0.00245418842,290.3582943639551
coarse,316.22776601683796,1,0.49331942092204667,0.00511440821,96.45679434767814
coarse,316.22776601683796,2,0.49331942092204667,0.00511288922,96.48545072956748
coarse,316.22776601683796,3,0.49331942092204667,0.00512615731,96.23571636393007
coarse,316.22776601683796,4,0.49331942092204667,0.00511689531,96.4099109000623
coarse,316.22776601683796,5,0.49331942092204667,0.00511492509,96.44704707142577
coarse,1000.0,1,0.10196932665390163,0.00656806957,15.525007091832864
coarse,1000.0,2,0.10196932665390163,0.00657419395,15.51054432367357
coarse,1000.0,3,0.10196932665390163,0.00656542182,15.53126812709524
coarse,1000.0,4,0.10196932665390163,0.00657487893,15.50892841366763
coarse,1000.0,5,0.10196932665390163,0.00657233549,15.5149302419286
coarse,3162.2776601683795,1,0.28569940902137025,0.00606618775,47.09702712735363
coarse,3162.2776601683795,2,0.28569940902137025,0.00607475126,47.03063496650401
coarse,3162.2776601683795,3,0.28569940902137025,0.00608502654,46.95121823106629
coarse,3162.2776601683795,4,0.28569940902137025,0.00606598891,47.098570943706235
coarse,3162.2776601683795,5,0.28569940902137025,0.00607838435,47.00252444901255
coarse,10000.0,1,0.600819847091692,0.00366176595,164.07925992421553
coarse,10000.0,2,0.6060902261902299,0.00366334291,165.4473089417201
coarse,10000.0,3,0.600819847091692,0.00365680666,164.30178102215882
coarse,10000.0,4,0.600819847091692,0.0036659399,163.89244326992159
coarse,10000.0,5,0.600819847091692,0.00366622186,163.87983870994975
fine,700.0,1,0.22061732029104153,0.00636532018,34.6592652140621
fine,700.0,2,0.22061732029104153,0.00635716738,34.70371426511686
fine,700.0,3,0.2187788536908223,0.00637796242,34.302311503870904
fine,700.0,4,0.2187788536908223,0.00637586368,34.31360277935276
fine,700.0,5,0.2187788536908223,0.00637823064,34.30086900884197
fine,766.6666666666666,1,0.18874517802819663,0.0064392495,29.31167336010146
fine,766.6666666666666,2,0.18874517802819663,0.00643994519,29.308506898673873
fine,766.6666666666666,3,0.18874517802819663,0.00643976079,29.309346136162397
fine,766.6666666666666,4,0.18874517802819663,0.00644865306,29.268930468434384
fine,766.6666666666666,5,0.18874517802819663,0.00644113682,29.303084735311774
fine,833.3333333333334,1,0.1617860306515986,0.00649690209,24.902026906118667
fine,833.3333333333334,2,0.1617860306515986,0.00650883419,24.85637610805363
fine,833.3333333333334,3,0.1617860306515986,0.00648891088,24.932694198382737
fine,833.3333333333334,4,0.16031525314292464,0.00649145292,24.696359215515137
fine,833.3333333333334,5,0.16031525314292464,0.00649793353,24.67172869694231
fine,900.0,1,0.13605257686620845,0.00654135412,20.798839868679735
fine,900.0,2,0.1348268833103559,0.00653856667,20.62025060155208
fine,900.0,3,0.1348268833103559,0.00653223461,20.640238962629038
fine,900.0,4,0.13605257686620845,0.00653458806,20.820375457027424
fine,900.0,5,0.13605257686620845,0.00654427847,20.789545782609164
fine,966.6666666666667,1,0.11251482639085401,0.00657210685,17.12005433856481
fine,966.6666666666667,2,0.11141173800908072,0.00657122117,16.95449523411502
fine,966.6666666666667,3,0.11141173800908072,0.00657378975,16.94787059611706
fine,966.6666666666667,4,0.11141173800908072,0.00657377625,16.94790540050412
fine,966.6666666666667,5,0.11251482639085401,0.00657310383,17.117457642663467
fine,1033.3333333333335,1,0.09155618906859334,0.00659333868,13.886165039013791
fine,1033.3333333333335,2,0.09155618906859334,0.0065866732,13.90021734623077
fine,1033.3333333333335,3,0.09155618906859334,0.0065972642,13.87790245971858
fine,1033.3333333333335,4,0.09265927748572197,0.00658617914,14.06874540095215
fine,1033.3333333333335,5,0.09155618906859334,0.0065932502,13.886351388362804
fine,1100.0,1,0.07230789194130376,0.00660329591,10.95027285265242
fine,1100.0,2,0.07230789194130376,0.00661363313,10.9331573917079
fine,1100.0,3,0.0716951136643469,0.00661395537,10.839975423714858
fine,1100.0,4,0.0716951136643469,0.0066057439,10.8534503834378
fine,1100.0,5,0.07230789194130376,0.00660411501,10.948914704213148
fine,1166.6666666666667,1,0.05576286732653688,0.00661479775,8.430018487948008
fine,1166.6666666666667,2,0.05515008904958003,0.00661536166,8.3366702962057
fine,1166.6666666666667,3,0.05515008904958003,0.00662511727,8.324394392128251
fine,1166.6666666666667,4,0.05576286732653688,0.00661756657,8.426491329808696
fine,1166.6666666666667,5,0.05576286732653688,0.00661673024,8.427556406854041
fine,1233.3333333333335,1,0.041549593437216696,0.00662267255,6.273840828385317
fine,1233.3333333333335,2,0.04118189904237054,0.00662068976,6.220182569371826
fine,1233.3333333333335,3,0.041549593437216696,0.00662452867,6.272082967257608
fine,1233.3333333333335,4,0.040814204682879725,0.00662092213,6.164429045003694
fine,1233.3333333333335,5,0.04118189904237054,0.00662262412,6.218365755955139
fine,1300.0,1,0.03125411930418133,0.00662566442,4.717129833777686
fine,1300.0,2,0.03125411930418133,0.00662692729,4.716230907096814
fine,1300.0,3,0.03162181631532258,0.00661543477,4.7800057614841505
fine,1300.0,4,0.03125411930418133,0.00662364624,4.718567111183964
fine,1300.0,5,0.03162181631532258,0.00661691045,4.778939741480493
