Frequency [Hz],repeat,Vrms [V],Irms [A],XL [Ohm]
200,1,0.03750494477014999,0.00660574203,5.677627827399428
200,2,0.03750494477014999,0.00661163731,5.672565358874774
200,3,0.03750494477014999,0.0066118855,5.672352428085754
200,4,0.03713724775900874,0.00660829665,5.619791260280173
200,5,0.03713724775900874,0.00661248947,5.6162278862591135
200,6,0.03713724775900874,0.00660762563,5.620361963365159
200,7,0.03750494477014999,0.00660998095,5.673986816883336
200,8,0.03750494477014999,0.00662260782,5.663168617185305
200,9,0.03750494477014999,0.00661033718,5.67368104665275
200,10,0.03750494477014999,0.00661971746,5.6656413203094615
500,1,0.06618010369165767,0.00659897504,10.028845887505836
500,2,0.06618010369165767,0.00659073004,10.041391968720003
500,3,0.06618010369165767,0.00658870954,10.044471271631997
500,4,0.06679288200396985,0.00660283072,10.115795003142205
500,5,0.06618010369165767,0.00659359526,10.037028522684553
500,6,0.06618010369165767,0.00659012422,10.042315058464506
500,7,0.06556732537934547,0.0065928367,9.945237287516232
500,8,0.06618010369165767,0.00659323484,10.0375771980932
500,9,0.06618010369165767,0.00660486426,10.019903678029209
500,10,0.06618010369165767,0.00658322917,10.052833037203484
1000,1,0.1202364345980868,0.00652352814,18.431197354823826
1000,2,0.1202364345980868,0.00652457774,18.428232353023784
1000,3,0.1202364345980868,0.00653145183,18.408837380660405
1000,4,0.12133952297986011,0.00651527615,18.62384957848028
1000,5,0.1202364345980868,0.00652673282,18.422147483905555
1000,6,0.12133952297986011,0.0065190522,18.613062030682944
1000,7,0.1202364345980868,0.00652578985,18.42480946549126
1000,8,0.12133952297986011,0.00651945034,18.611925339070858
1000,9,0.1202364345980868,0.00651988387,18.441499418621824
1000,10,0.1202364345980868,0.00651468849,18.456206276424247
2000,1,0.2291916962004708,0.00626301765,36.59445159003676
2000,2,0.2291916962004708,0.00625270745,36.65479282906013
2000,3,0.2291916962004708,0.00626824936,36.563908523331435
2000,4,0.2291916962004708,0.00626631826,36.575176473796084
2000,5,0.22710812461100346,0.00626314059,36.26106125952435
2000,6,0.2291916962004708,0.00627353275,36.53311544447916
2000,7,0.2291916962004708,0.00626796158,36.56558727669655
2000,8,0.2291916962004708,0.00626211287,36.59973893132188
2000,9,0.2291916962004708,0.00624553254,36.696902102838266
2000,10,0.2291916962004708,0.00625194702,36.65925118483663
5000,1,0.45300090268897275,0.00512502948,88.38991160085439
5000,2,0.45300090268897275,0.00512122596,88.4555585375836
5000,3,0.45300090268897275,0.00513080973,88.29033359788471
5000,4,0.44895623825342484,0.00512282876,87.63834578250179
5000,5,0.45300090268897275,0.00512465416,88.39638511118041
5000,6,0.44895623825342484,0.00514649833,87.23528299550131
5000,7,0.45300090268897275,0.00512801576,88.33843808018499
5000,8,0.45300090268897275,0.0051157116,88.55090710918354
5000,9,0.45300090268897275,0.0051268735,88.35811975641153
5000,10,0.45300090268897275,0.00511540473,88.55621922392302
