stage,Frequency [Hz],repeat,Vrms [V],Irms [A],Z [Ohm]
coarse,700.0000000000001,1,0.11141173800908072,0.00333647267,33.39207271524892
coarse,700.0000000000001,2,0.11141173800908072,0.0033375551,33.38124305695529
coarse,822.8541080088764,1,0.08530535837003449,0.0033939695,25.134391564224277
coarse,822.8541080088764,2,0.08456996961569752,0.0033953737,24.907411403845625
coarse,967.2698329529765,1,0.05637564563884907,0.00343672396,16.40389111694879
coarse,967.2698329529765,2,0.05637564563884907,0.0034337556,16.41807169935131
coarse,1137.0313651405945,1,0.030518727933549268,0.00346200494,8.815333444772401
coarse,1137.0313651405945,2,0.03125411930418133,0.0034551837,9.045573844360671
coarse,1336.5870424869697,1,0.012445079278172557,0.00345699862,3.5999665160909315
coarse,1336.5870424869697,2,0.012445079278172557,0.00345695624,3.60001064930245
coarse,1571.1659123169106,1,0.029415642168071052,0.00344543532,8.537569112767745
coarse,1571.1659123169106,2,0.029415642168071052,0.00344536733,8.53773759097874
coarse,1846.914750447834,1,0.054537310737267836,0.00341797713,15.95601979269763
coarse,1846.914750447834,2,0.054537310737267836,0.00341812102,15.955348104458816
coarse,2171.059127925984,1,0.08236832360349602,0.00336727174,24.461442367433058
coarse,2171.059127925984,2,0.08151031913918876,0.0033706571,24.182323126012655
coarse,2552.0927459200916,1,0.10920557174606979,0.00330244121,33.068134995223666
coarse,2552.0927459200916,2,0.10920557174606979,0.00330078369,33.08474047448707
coarse,3000.0000000000014,1,0.13616515109420047,0.00320990593,42.42029332435934
coarse,3000.0000000000014,2,0.13616515109420047,0.00322533934,42.21731009990423
fine,935.6109297408788,1,0.06250343388849518,0.00342382747,18.255427423302724
fine,935.6109297408788,2,0.061890655611538316,0.00343819731,18.000902807854942
fine,1024.7167325733435,1,0.048050167922284934,0.00344106695,13.963741078122567
fine,1024.7167325733435,2,0.04706954774800737,0.00344104227,13.678863569440363
fine,1113.8225354058081,1,0.03419568220576982,0.00345380302,9.900877961989222
fine,1113.8225354058081,2,0.03419568220576982,0.00344284857,9.932380559441748
fine,1202.9283382382728,1,0.023193099912689686,0.00345198088,6.718779946628699
fine,1202.9283382382728,2,0.022910260311484902,0.00343557075,6.668545630004826
fine,1292.0341410707374,1,0.01442497752303277,0.00344753708,4.184139920268173
fine,1292.0341410707374,2,0.01442497752303277,0.00345413806,4.176143880894202
fine,1381.139943903202,1,0.013293605966027513,0.0034482521,3.8551722961402715
fine,1381.139943903202,2,0.013859293088033025,0.00346321054,4.001862701663245
fine,1470.2457467356667,1,0.019855559441023084,0.00345453643,5.747676958503832
fine,1470.2457467356667,2,0.019855559441023084,0.0034527306,5.750683079943475
fine,1559.3515495681315,1,0.027944859426806933,0.00345657091,8.084561304951484
fine,1559.3515495681315,2,0.027944859426806933,0.00343649089,8.131800816968537
fine,1648.4573524005962,1,0.03676955336416259,0.00343269226,10.71157871989451
fine,1648.4573524005962,2,0.03603416199353053,0.00344270701,10.46681053277622
fine,1737.5631552330608,1,0.04473284741651373,0.00343095581,13.038013280769633
fine,1737.5631552330608,2,0.04473284741651373,0.00344277802,12.993241840353603
