Frequency [Hz],Vrms_mean [V],Vrms_std [V],Irms_mean [A],Irms_std [A],XL_mean [Ohm],XL_std [Ohm]
200,0.04242640591659869,0.0,0.006163226908,8.038414181044567e-06,6.88380686337653,0.008983935061158755
500,0.0707106739113694,0.0,0.006173616368,6.754460648043643e-06,11.45369867683341,0.012531362891194728
1000,0.1131370824442632,0.0,0.006120605208,6.7530502377757445e-06,18.48464142526248,0.020385459100297074
2000,0.2319310137640072,0.012649098574607828,0.00624018712,0.00018419340237584933,37.149432051928024,1.1498741206098186
5000,0.4440630565557554,0.007745959314381554,0.005180453789999999,4.6417669275878715e-06,85.71859758090662,1.4676153944685906
