Frequency [Hz],Vrms_mean [V],Vrms_std [V],Irms_mean [A],Irms_std [A],XL_mean [Ohm],XL_std [Ohm]
200,0.028284273262716226,0.0,0.006780004127999999,5.10045287989398e-06,4.171721304327875,0.0031373018168391405
500,0.06505382927852923,1.4628472785736255e-17,0.006762436405000001,8.467204364956516e-06,9.619893958454158,0.012051521903816345
1000,0.1216223810365519,1.4628472785736255e-17,0.006687874487000001,5.342147977086451e-06,18.18551636422179,0.014536120043740214
2000,0.23193103062850393,0.0,0.006427242700999999,6.563842249860574e-06,36.08565274778617,0.036835736260085385
5000,0.45537680484363874,5.851389114294502e-17,0.005231539625,5.472461795312997e-06,87.04459591174249,0.09092209441456124
