category,phasor,RMS [V],RMS_std [V],phase [deg],phase_std [deg],real [V],imag [V]
measured,$V_R$,0.9913916499748285,0.0001277886490722415,-9.624515240402533e-15,0.012702602710222636,0.9913916499748285,-1.6653345369377348e-16
measured,$V_L$,1.1559169902784543,0.00019566193124896615,-88.7356100244352,0.015431715189648865,0.02550643775527489,-1.1556355437798875
measured,$V_C$,1.1557226889103998,0.00039341950530995967,-88.68453156738879,0.021936866474496802,0.02653220121596589,-1.1554180957389062
measured,$V_E$,2.5356884060592186,,-65.70103876913078,,1.0434302889460694,-2.3110536395187937
theory,$V_R$,0.9913916499748285,,0.0,,0.9913916499748285,0.0
theory,$V_L$,0.15572743621955923,,90.0,,0.0,0.15572743621955923
theory,$V_C$,1.1989732646924323,,-90.0,,0.0,-1.1989732646924323
theory,$V_E$,1.4391731175455802,,-46.45990753237199,,0.9913916499748285,-1.043245828472873
