stage,Frequency [Hz],repeat,Vrms [V],Irms [A],Z [Ohm]
coarse,100.0,1,0.7125939636789699,0.00246381667,289.2236148718686
coarse,100.0,2,0.7125939636789699,0.00246831868,288.6960948166425
coarse,100.0,3,0.7125939636789699,0.00246512308,289.070338702508
coarse,100.0,4,0.7125939636789699,0.00246747374,288.79495336755633
coarse,100.0,5,0.7125939636789699,0.00246998877,288.5008921230722
coarse,166.81005372000593,1,0.6566988131846163,0.00350772426,187.21506153525772
coarse,166.81005372000593,2,0.6566988131846163,0.00352074811,186.52252097200338
coarse,166.81005372000593,3,0.6566988131846163,0.0035170624,186.7179874842756
coarse,166.81005372000593,4,0.6566988131846163,0.0035095294,187.1187667453694
coarse,166.81005372000593,5,0.6566988131846163,0.00351688219,186.72755517710883
coarse,278.2559402207126,1,0.5401446960515534,0.00477305613,113.16537692833572
coarse,278.2559402207126,2,0.5353646533975595,0.00477121538,112.2071863789053
coarse,278.2559402207126,3,0.5353646533975595,0.0047756792,112.10230649444784
coarse,278.2559402207126,4,0.5353646533975595,0.00476834737,112.27467544956974
coarse,278.2559402207126,5,0.5353646533975595,0.00478039123,111.99180728928738
coarse,464.15888336127773,1,0.37063710987217724,0.005819574,63.68801391170165
coarse,464.15888336127773,2,0.37063710987217724,0.00582947442,63.57985011488861
coarse,464.15888336127773,3,0.3673278236197199,0.0058202669,63.11185207326487
coarse,464.15888336127773,4,0.37063710987217724,0.00583180133,63.55448152280888
coarse,464.15888336127773,5,0.37063710987217724,0.0058403993,63.46091950805097
coarse,774.263682681127,1,0.1904610605261187,0.0064230538,29.652726951488198
coarse,774.263682681127,2,0.19217692195225866,0.00641234685,29.969826406420708
coarse,774.263682681127,3,0.1904610605261187,0.00642046286,29.66469313493057
coarse,774.263682681127,4,0.19217692195225866,0.00643088715,29.883423152940672
coarse,774.263682681127,5,0.1904610605261187,0.00642270502,29.654337219758958
coarse,1291.549665014884,1,0.033460293486788195,0.00660505751,5.0658595229685135
coarse,1291.549665014884,2,0.03272490208080079,0.00660393434,4.955364544221194
coarse,1291.549665014884,3,0.03309259909194204,0.00659654383,5.016657198795879
coarse,1291.549665014884,4,0.03272490208080079,0.0066054333,4.954240031581394
coarse,1291.549665014884,5,0.03272490208080079,0.00660379604,4.9554683219442355
coarse,2154.4346900318824,1,0.15099501499029216,0.00644480716,23.428942285108214
coarse,2154.4346900318824,2,0.15099500445440114,0.00643519498,23.46393620141734
coarse,2154.4346900318824,3,0.15099500445440114,0.00644448865,23.4300985935325
coarse,2154.4346900318824,4,0.15099501499029216,0.00644356338,23.43346469733835
coarse,2154.4346900318824,5,0.15099501499029216,0.0064357603,23.461876756083065
coarse,3593.813663804626,1,0.3269984104267828,0.00588872749,55.529553877654955
coarse,3593.813663804626,2,0.32417946061886954,0.00588702131,55.06680603791963
coarse,3593.813663804626,3,0.32417943954708744,0.00588418217,55.09337239759309
coarse,3593.813663804626,4,0.3269984104267828,0.0058832285,55.58145675062303
coarse,3593.813663804626,5,0.32417943954708744,0.00588510232,55.08475841539615
coarse,5994.8425031894085,1,0.48473992414530803,0.00489593996,99.00855159696609
coarse,5994.8425031894085,2,0.48473992414530803,0.00488612009,99.20753383392753
coarse,5994.8425031894085,3,0.48473992414530803,0.00489653973,98.99642418408561
coarse,5994.8425031894085,4,0.48473992414530803,0.00489853276,98.95614623700261
coarse,5994.8425031894085,5,0.48473992414530803,0.00490001449,98.926222592723
coarse,10000.0,1,0.600819847091692,0.00369199016,162.73603694861745
coarse,10000.0,2,0.600819847091692,0.00369878253,162.43719175663242
coarse,10000.0,3,0.600819847091692,0.00370312971,162.24650340203502
coarse,10000.0,4,0.600819847091692,0.0036908281,162.78727451210528
coarse,10000.0,5,0.600819847091692,0.00369236595,162.7194745124578
fine,904.0847655104188,1,0.13886148519214345,0.00652091904,21.29477215410168
fine,904.0847655104188,2,0.13751332342879516,0.00651524216,21.10640250228169
fine,904.0847655104188,3,0.13886148519214345,0.00651550153,21.312478333827272
fine,904.0847655104188,4,0.14020964699084712,0.00652841665,21.476822713336947
fine,904.0847655104188,5,0.14020964699084712,0.00651785545,21.51162265969662
fine,990.1880765114112,1,0.10920557174606979,0.0065525393,16.666145252432106
fine,990.1880765114112,2,0.1103086601278431,0.00655570533,16.826360334265225
fine,990.1880765114112,3,0.10920557174606979,0.00655234186,16.66664744901906
fine,990.1880765114112,4,0.10920557174606979,0.00655481499,16.660359127248196
fine,990.1880765114112,5,0.10920557174606979,0.00656190235,16.642364656046702
fine,1076.2913875124034,1,0.08322632806780328,0.00657471595,12.658543532637829
fine,1076.2913875124034,2,0.08408433256746589,0.00657799235,12.78267411902142
fine,1076.2913875124034,3,0.08408433256746589,0.00658403523,12.77094207885426
fine,1076.2913875124034,4,0.08236832360349602,0.00657705357,12.523590195342749
fine,1076.2913875124034,5,0.08322632806780328,0.00657666288,12.654796146066602
fine,1162.3946985133957,1,0.05882675885274251,0.00658891769,8.92813685349627
fine,1162.3946985133957,2,0.05821398054043032,0.00659272308,8.830035758218184
fine,1162.3946985133957,3,0.05943954239764489,0.00659052609,9.01893742410553
fine,1162.3946985133957,4,0.05943954239764489,0.00659335591,9.01506656230922
fine,1162.3946985133957,5,0.05943954239764489,0.00659180945,9.017181526332635
fine,1248.498009514388,1,0.039343421906260265,0.0065987194,5.962281394517285
fine,1248.498009514388,2,0.03971111891740151,0.00659523299,6.021185146546508
fine,1248.498009514388,3,0.040078813276892326,0.00659239199,6.07955554488991
