stage,Frequency [Hz],Vrms_mean [V],Vrms_std [V],Irms_mean [A],Irms_std [A],Z_mean [Ohm],Z_std [Ohm]
coarse,10.0,0.7617478943507653,1.3597399555105182e-16,0.0012377880833333334,1.1419822980398382e-05,615.4455906180975,5.690653003924119
coarse,11.518763755025224,0.7572538039938123,0.003891996416024127,0.0012272214133333334,2.4848868971054493e-05,617.2585983609126,15.682472376467823
coarse,13.268191844408273,0.7550067588153356,0.0,0.0012547471566666665,4.068144146468302e-05,602.1368367267372,19.27561067194293
coarse,15.283316731209128,0.754511196179927,0.0,0.00124693464,1.6358408708334085e-05,605.1625393416845,7.971929248517564
coarse,17.604491482002228,0.7535252970999745,0.0,0.0012597903066666665,4.836067723691775e-06,598.1413810119379,2.3004393533843235
coarse,20.278197840853746,0.7482656232799058,0.0,0.00129062535,1.3122770252408582e-05,579.8100092120852,5.92933143208653
coarse,23.35797703064569,0.7478926236750126,1.3597399555105182e-16,0.0013000667466666668,1.3586811871503623e-05,575.3142095543553,5.989222478236933
coarse,26.90550192113131,0.7478926236750126,1.3597399555105182e-16,0.0013476416533333335,6.215397947085327e-06,554.9718663333314,2.5532949737051895
coarse,30.991812033988886,0.7470293719127034,0.0,0.00140306567,3.1815521402139434e-06,532.4283438781159,1.2065428373588876
coarse,35.698736115966575,0.7470293719127034,0.0,0.00145240951,8.392655639045336e-06,514.3494648062338,2.981579107139285
coarse,41.12053076728055,0.7470293719127034,0.0,0.0015346859966666668,1.3782961949727374e-05,486.7899156149228,4.385333030354341
coarse,47.365767938955074,0.7470293719127034,0.0,0.0016126772799999998,7.921184860543263e-06,463.23055413056727,2.275830643032439
coarse,54.55950909641715,0.7383681383414601,0.0037504241350943593,0.0017473676333333334,1.7506457278188352e-05,422.58660234364817,4.491615929380604
coarse,62.84580958717786,0.7340375215735161,0.0,0.001875545443333333,4.603346217798674e-05,391.5293893730848,9.569147583766965
coarse,72.3906033628001,0.7340375215735161,0.0,0.00202766899,4.173955487747785e-06,362.01155061443586,0.7452034388549295
coarse,83.3850258219829,0.7250955618960967,0.0,0.002226070503333333,9.722572942674984e-06,325.733061890719,1.4192449560749831
coarse,96.04924131500984,0.7125939636789699,0.0,0.002453901883333333,3.358046831498077e-06,290.39256162534605,0.39764166480676405
coarse,110.63685195570072,0.7000922811747148,0.0,0.0026997002633333336,6.41298728776488e-06,259.3232026059102,0.616839439102953
coarse,127.43997602774164,0.6866563856903142,0.0034674012720500463,0.0029855964233333333,3.846800345343295e-06,229.98996814009718,1.206146822263968
