Frequency [Hz],repeat,VC_rms_fft [V],VC_phase [deg],VC_real [V],VC_imag [V],VR_rms_fft [V],VR_phase [deg],VR_real [V],VR_imag [V],Irms [A],XC [Ohm],C [F],VC_rms_scope [V],VR_rms_scope [V],M_C,dt_C [s],Mdt_C [s],M_R,dt_R [s],Mdt_R [s]
5000.0,1,0.09910079119207188,-30.178077584311186,0.08566938381052325,-0.049816899666879,0.8976873281792429,52.38091514288209,0.5479564572094556,0.7110458917510527,0.016030130860343623,6.182157342036043,5.148848024611387e-06,1.4283556845264418,0.9020851830605174,1500,4e-07,0.0006,1500,4e-07,0.0006
5000.0,2,0.10166856383485566,-30.080969560785192,0.08797563288507662,-0.05095865864318198,0.8970012186148735,52.5307448281685,0.5456778007105391,0.7119318253936098,0.016017878903837025,6.3471926866984445,5.0149712147680635e-06,1.4283556845264418,0.9020851830605174,1500,4e-07,0.0006,1500,4e-07,0.0006
5000.0,3,0.10134046131980803,-30.19189721105155,0.08759321534341788,-0.050963886491447355,0.8971143329117819,52.47022011482578,0.5464984554861914,0.7114447023254573,0.016019898801996106,6.325911453771534,5.031842265101783e-06,1.4283556845264418,0.9020851830605174,1500,4e-07,0.0006,1500,4e-07,0.0006
5000.0,4,0.10146275462246429,-30.270036144085097,0.08762925004040756,-0.05114494220286236,0.8967085035233615,52.45695461325003,0.5464158641702513,0.7109963738825844,0.016012651848631456,6.336411706293105,5.023503852624607e-06,1.4283556845264418,0.9020851830605174,1500,4e-07,0.0006,1500,4e-07,0.0006
5000.0,5,0.1018788239519313,-30.19859387026254,0.08805255805284189,-0.05124491965238624,0.8964102474215827,52.3893546209226,0.5470723239396926,0.7101149231368449,0.016007325846813976,6.364512406812084,5.001323995269399e-06,1.4283556845264418,0.9020851830605174,1500,4e-07,0.0006,1500,4e-07,0.0006
5000.0,6,0.10071792640869248,-30.08695623138411,0.08714775404688906,-0.0504912830560853,0.8966287210637385,52.354391910440896,0.5476389827987107,0.7099539477709725,0.016011227161852472,6.290456402283633,5.060203359302104e-06,1.4283556845264418,0.9020851830605174,1500,4e-07,0.0006,1500,4e-07,0.0006
5000.0,7,0.1009870276210062,-30.270162764749468,0.08721827150090704,-0.05090533237412302,0.8967630417865186,52.42247385995876,0.54687690402243,0.7107106337751329,0.01601362574618783,6.306318707682235,5.047475412177183e-06,1.4283556845264418,0.9099293859412938,1500,4e-07,0.0006,1500,4e-07,0.0006
5000.0,8,0.10165051633350708,-30.353120077069626,0.08771701798772359,-0.05136683975299596,0.8968729460608839,52.44609876553841,0.546650796009181,0.7110231983546372,0.016015588322515782,6.346973603873172,5.0151443199566085e-06,1.4283556845264418,0.9020851830605174,1500,4e-07,0.0006,1500,4e-07,0.0006
5000.0,9,0.10274308057795442,-30.26749696179406,0.0887373105481676,-0.051786391294683765,0.8964529929283815,52.51691281369196,0.5455160450046586,0.7113650351069613,0.016008089159435385,6.418197672106059,4.959490225226125e-06,1.4283556845264418,0.9020851830605174,1500,4e-07,0.0006,1500,4e-07,0.0006
5000.0,10,0.10153863307799689,-30.439965998395653,0.0875425967845622,-0.05144305352099197,0.8966248126056146,52.462495478627794,0.5462961125017999,0.7109828493328613,0.016011157367957402,6.341742245392128,5.0192813562404355e-06,1.4283556845264418,0.9020851830605174,1500,4e-07,0.0006,1500,4e-07,0.0006
