category,phasor,RMS [V],RMS_std [V],phase [deg],phase_std [deg],real [V],imag [V]
measured,$V_R$,1.0076040706351608,0.00011794191955457759,-6.313104073624074e-15,0.030711512217683635,1.0076040706351608,-1.1102230246251565e-16
measured,$V_L$,0.2656660500120403,0.006750928835089077,28.377332743628337,1.1461232606997982,0.23374273267987808,0.1262647419050265
measured,$V_C$,1.1953791092471073,0.0006754076113304508,-89.58137501425253,0.027542014872858313,0.008733821487974358,-1.1953472027769272
measured,$V_E$,1.6448826330932584,,-40.537419391527166,,1.2500806248030132,-1.069082460871901
theory,$V_R$,1.0076040706351608,,0.0,,1.0076040706351608,0.0
theory,$V_L$,0.1582740773017296,,90.0,,0.0,0.1582740773017296
theory,$V_C$,1.2185803079111028,,-90.0,,0.0,-1.2185803079111028
theory,$V_E$,1.4627081957210752,,-46.45990753237199,,1.0076040706351608,-1.0603062306093731
